,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
0,Groninger Museum,2019,In the Ploeg Pavilion,"A collective of artists from Groningen

In 1918, several young artists take the initative to found the art collective known as De Ploeg (meaning both “the Plough” and “the Group”). This name was carefully selected: art in Groningen was like undeveloped land and needed to be ploughed thoroughly before something new could grow. By joining forces and organizing shared expositions and other activities, Groningen could be prepared for modern art.

DE PLOEG
Everything about De Ploeg
Here you can find information about De Ploeg, the artists, the history and development of the group, references to collections and highlights.
De Ploeg was founded in 1918 in response to the artistic climate in the city of Groningen. A number of younger artists believed that the opportunities to exhibit and develop were too limited. They hoped to be able to organize exhibitions of De Ploeg members, and also to introduce artists and the public to the latest developments in the field of visual art, architecture, literature in the form of exhibitions and lectures. The initiators included Jan Wiegers, Johan Dijkstra, George Martens and Jan Altink. The latter came up with the name for the association He decided that a lot of ground had to be cultivated in Groningen with regard to modern art and therefore proposed the name De Ploeg, meaning the plough.

The association did not have a substantive program: anyone who engaged in ""serious"" art could join. From the beginning, De Ploeg therefore had members who worked in completely different directions and styles.

Although De Ploeg continued to exist - and still exists - as an association, its art-historical significance lies in the 1920s, when within its ranks an expressionist and impressionist trend was successively developed, characterized by a close connection to the Groningen region as well as international artistic orientation. The most important artists who were members of De Ploeg during that period include: Jan Wiegers, Jan Altink, Johan Dijkstra, Hendrik Werkman, George Martens, Jan Jordens, Jan van der Zee and Job Hansen.
Soon, led by Jan Wiegers, a group of painters within De Ploeg was formed that found inspiration in expressionism. From 1922 they left an emphatic mark on all association activities. Although his style was already developing towards expressionism, Wiegers converted to expressionism permanently during his sojourn in Switzerland in 1920-1921. Due to illness, Wiegers stayed in Davos, where he met Ernst Ludwig Kirchner, the most prominent representative of German Expressionism. Kirchner’s personality and style made a decisive impression on Wiegers. When having returned to Groningen Wiegers introduced expressionism and gave a new direction to the artictic style of De Ploeg. At his request, artists such as Altink, Dijkstra, Werkman and Martens gave in to experiments with colour, wax paint and expressive forms of graphic art.

De Ploeg's expressionism can be traced back to the work of artists such as Vincent van Gogh, Edvard Munch and Piet van Wijngaerdt, but found her artistic grammar in the work of Kirchner. The period in which Groningen expressionism set the tone within De Ploeg lasted only briefly. Around 1926 Wiegers and Altink moderated their colour palette and Dijkstra returned to a more impressionistic way of working about three years later. Werkman, who had less emphatically engaged with Kirchner’s style, developed his own expressionist painting, but was mainly concerned with his printing. Initially with the help of his hand press, later using stamping and stencil techniques, he produced his famous prints, which were both figurative and abstract.
Under the influence of Jan Altink, a second period arose around 1927 in which a clearly recognizable school within De Ploeg was leading. It was impressionistic in nature and characterized by an extremely expressive brushwork and a light and transparent use of colour. The most startling results in this direction were achieved by Altink and Job Hansen. The latter developed his own painting technique, in which diluted oil paint was spread on prepared panels in an almost watercolour-like manner.

The way in which expressiveness was determined in his work by the painter's material pointed forward to the experimental and abstract expressionist forms of art that would develop after World War II.
Constructivism, which developed from 1923 in the work of Wobbe Alkema, Jan van der Zee and in the printing art of Hendrik Werkman, was an independent school within modern art in Groningen. Unlike expressionism, this style did not develop into an important trend within De Ploeg, because Van der Zee ultimately worked only in a constructivist way for one year; Werkman also worked in an expressionist style. Wobbe Alkema, the only constructivist by conviction, was only a member of De Ploeg for less than a year (in 1924-1925). Most of his work was created outside De Ploeg.",2018.1-2025.3
1,Groninger Museum,2019,Collection of the Groninger Museum,"The Groninger Museum’s collection is fascinatingly varied. Get acquainted with suffragette Aletta Jacobs through a portrait painted by Isaac Israëls, discover the expressionism of Groningen’s De Ploeg artists, and be surprised by the striking designs of the Memphis group. A gleaming trove of Groningen silver, with a miniature Martini tower as its highlight, greets you in the Treasure Room. And of course there’s plenty of local history and culture too.",2018.1-2025.3
2,Groninger Museum,2019,Memphis Design,"Memphis Design One evening in December 1980 Italian designer Ettore Sottsass convened an international group of young designers. This was the moment when the Memphis group came into existence. Their goal was to create exciting designs with bright colors, asymmetrical shapes and with combinations of cheap and expensive materials. Memphis gave the Groninger Museum the impetus for a new collection area: modern design. Ten years later Alessandro Mendini, who also designed for Memphis, created the building of the Groninger Museum in this style. The Memphis design collection of the Groninger Museum In the exhibition The Collection, one room is completely filled with the cheerfully colored design of Memphis and Mendini. The poetic appearance the bright colors, playful shapes and decorations of the furniture, glass and lamps evoke all kinds of associations. Humor and irony also play an important role in Memphis design.",2018.1-2025.3
3,Groninger Museum,2019,Grand Stairwell Installation,"Chihuly’s Grand Stairwell Installation comprises 70 red, orange, and yellow exotic glass forms, known as Persians, in a composition which covers the three walls of the 12-metre-high stairwell. The installation can be seen from the museum’s different floors as well as from the staircase. Audience members quickly expressed a wish that the museum would purchase the work. The Groninger Museum is delighted and proud to have obtained sufficient support to make that wish come true.
Dale Chihuly about Grand Stairwell Installation
“Presenting my solo exhibition, CHIHULY, at the Groninger Museum was a major honor. Not only was it my largest exhibition ever in a European museum and an opportunity to share my work with an entirely new audience, but the institution’s aesthetic itself is so inspiring. I love its colorful and interesting spaces – the result of an architectural collaboration led by Alessandro Mendini – and I’m pleased to know that my Grand Stairwell Installation will have a permanent home in this space that I so admire.”
The Groninger Museum hosted Dale Chihuly’s largest major European exhibition in winter 2018/19. Deemed “bold” by the daily national newspaper NRC, the show met with unprecedented success, drawing 156,000 enthusiastic visitors. One of the exhibition’s highlights was a large installation designed for the museum’s staircase.
Chihuly understands the power of architecture and how each line, colour, and form interacts with a space to play a part in an installation’s overall success. Never before has the stairwell area been used to such impressive effect. The Groninger Museum’s collection is rich in technically advanced, exuberant works in which artists challenge the boundaries of their disciplines. The Grand Stairwell Installation continues this tradition and will remain on permanent display. It harmonises with François Morellet’s neon installation in the foyer and the interiors designed by Studio Job, Jaime Hayon, and Maarten Baas. Chihuly’s work adds a new dimension to a colourful, eccentric building.

CHIHULY
Dale Chihuly is an American artist noted for revolutionizing the studio glass movement and elevating perceptions of the glass medium. Known for ambitious architectural installations in cities, museums, and gardens around the world, Chihuly utilizes a variety of media to realize his creative vision, including glass, paint, charcoal, neon, ice, and Polyvitro. Chihuly’s work is included in more than 200 museum collections worldwide, including Metropolitan Museum of Art, Smithsonian American Art Museum and Corning Museum of Glass. Major exhibitions include Chihuly Over Venice (1995-96), Chihuly in the Light of Jerusalem (1999), de Young Museum in San Francisco (2008), Museum of Fine Arts, Boston (2011), Virginia Museum of Fine Arts, Richmond (2012), Montreal Museum of Fine Arts, Montreal, Canada (2013), Royal Ontario Museum, Toronto, Canada (2016), Crystal Bridges Museum of American Art, Bentonville, Arkansas (2017), Groninger Museum, Groningen, Netherlands (2018), and Royal Botanic Gardens, Kew, London, U.K (2019). Chihuly Garden and Glass, a long-term exhibition located at the Seattle Center, opened in 2012.

Persians
Featured in many of Chihuly’s most dramatic installations, Persians arose out of an exploration of form and colour. The series’ asymmetric and swirling forms evoke an ancient sensibility and when grouped together, form a mysterious, enchanting whole. Originally presented on pedestals, the series’ dramatic compositions have evolved to include large-scale installations mounted on walls, overhead in ceilings, and assembled together in the form of chandeliers and towers.

Sponsors
The work’s purchase would not have been possible without the support of foundations and private donors. On behalf of the public, the museum thanks the following sponsors: the Vereniging Rembrandt, partly via its Titus Fonds, its Themafonds Glas its Innorosa Fonds, its Groninger Fonds,; the Mondriaan Fund; the De Marees van Swinderen-de Blocq van Scheltinga bequest; the Van Os-Van Calcar bequest; the Groninger Museum Salon; the BankGiro Loterij; Reineke Bennema & Willem Bok; and Het Singeldorp.",2019.5-2024.12
4,Groninger Museum,2019,Pronkjewails - Design From Past and Present,"For the museum building’s 25th anniversary, guest curator John Veldkamp decorates the Starck Pavilion with ceramic and glass objects from past eras and the present day. The exhibition illustrates the Groninger Museum’s collecting history while treating visitors to original combinations of splendid objects arranged in masterly still lifes.

John Veldkamp
Veldkamp owned the renowned design store John John’s, which operated for more than 30 years on Oude Kijk in ’t Jatstraat in Groningen. In the 1980s, he encouraged the Groninger Museum’s then director, Frans Haks, to start collecting contemporary design.
Royal Blood
The still lifes below are inspired by the artwork ‘Marie Antoinette’ (3) by Erwin Olaf, which is part of his series ‘Royal Blood’. The first still life (left) is inspired by the name Royal Blood. The doll is holding a harakiri knife with an Imari handle. The plate on the right is called ‘milk and blood’ and all the objects are in the colour red. The second still life (right) is inspired by our own royal family: the House of Orange. The initials of our king are painted on the two plates and the little bowl is made out of silver Queen Elizabeth coins. In 1942 it was forbidden to use these silver coins, so people made these objects as a silent protest. This was a way of showing you were pro Dutch. As usually only items like spoons or brooches were made, the size of this object is very rare.",2019.4-2022.8
5,Groninger Museum,2019,Mondo Mendini,"Twenty-five years after the opening of the Groninger Museum building he designed, Alessandro Mendini (1931–2019) was given free rein to put together his dream exhibition. Shortly before his death earlier this year, the grand old man of Italian design selected dozens of his own revolutionary designs as well as works by numerous other artists and designers. Mendini passionately believed in collaboration between creative spirits and the importance of imagination. Mondo Mendini is a colourful, dazzling riot of fine art, design and architecture.

MONDO MEDNINI IN 360°
The exhibition Mondo Mendini - The World of Alessandro Mendini is now available in 360°.",2019.10-2020.8
6,Groninger Museum,2019,P. Struycken,"Peter Struycken’s (b. 1939, The Hague) 2007 installation for the Coop Himmelb(l)au Pavilion, based on the French composer Pierre Boulez’s musical work …explosante-fixe…, went on view again in 2019. Five large screens scattered through the darkened gallery took visitors on a journey full of changing colours and forms, by turns intense and serene. The work was shown alternately with a new installation based on Alexander Scriabin’s dramatic symphony Prometheus: The Poem of Fire.
In Museum Estate Wijlre (Zuid-Limburg)
P. Struycken – Colour: Profusion and Variability
10.03.2019 — 10.11.2019

On the occasion of P. Struycken's eightieth birthday, Kasteel Wijlre estate realised a unique transformation of the Hedge House. The transformation consists of a painting that covers all of the building's floors, walls and ceiling. The red, black and white areas of colour will change the experience of the architecture of Wiel Arets, who designed the Hedge House. Struycken has never before realised a painted work on this scale, and for the first time, the Hedge House is using its space for a spatially all-encompassing artwork.
Alongside the transformation of the Hedge House, a solo exhibition of Struycken will also take place in the estate's Coach House.",2019.6-2020.2
7,Groninger Museum,2019,Daan Roosegaarde - Presence,"The Groninger Museum presented Daan Roosegaarde – Presence: the artist and innovator’s first major museum solo project. Roosegaarde developed this groundbreaking new interactive artwork specially for the Groninger Museum. Where he previously displayed his work in the external public domain, the artist now adopted the internal museum space for the first time, with a large-scale, phosphorescent landscape which changes colour and shape because of the presence of visitors.
Unlike most exhibitions, which demand that art should be viewed from a distance, this installation encourages physical interaction. Roosegaarde is known for Icoon Afsluitdijk and international projects like Waterlicht and Smog Free Tower. As a pioneer of the landscape of the future, he investigates the concept of the Dutch word ‘schoonheid’ in its dual meaning – beautiful and clean – which takes shape in new social core values like clean air, clean water and clean energy. Presence envisioned this theme by using new materials and principles of physics, evoking visitors to become aware of their own presence in a unique manner.

Living lab
Presence was an 800 m2 living lab. Although the installation is the result of innovative material-technical research, it comes across as highly intuitive. Different areas allowed visitors to experience various changes in perspective – from large and solid to small and mobile, from dark to bright. In one gallery, futuristic spheres drew lines on the floor. Another seemed filled with luminous stardust, calling to mind a vast city seen from an airplane. Other rooms appear to scan visitors by recording their presence in silhouettes and patterns. The interaction between visitor and work created constantly changing visual impressions. Not only looking and observing but, most of all, touching, feeling and moving were essential.
Inspiration
Climate change and a desire to improve the landscape inspired Roosegaarde to make Presence. In the work, visitors’ traces, which eventually disappear to make room for new ones, symbolise the impact of humans’ presence on earth. Roosegaarde: “You make the work and the work makes you. The effect of your presence makes you aware of your relationship with the environment and how we can influence it.” Another source of inspiration was the landscape and environment art of the 1960s and ’70s in which interactivity and awareness of the earth’s vulnerability played an important role too. These artists made outdoor landscapes an integral part of their art; Roosegaarde however, took a new step by taking his landscape inside of the museum walls.
Daan Roosegaarde
Daan Roosegaarde (1979, Nieuwkoop) is known for his innovative designs for public space, which bring together social design, art and (bio-)technology. He characterises his work as ‘techno-poetry’: a blend of technology and creativity that blurs the boundaries between the humanities and the sciences and is, according to the artist, the engine that drives social change. Working with a team of designers, engineers and project managers, he investigates subjects such as the relationship between humans and technology, between the digital and the physical, and between living and nonliving matter. Natural phenomena such as luminous jellyfish and fireflies fascinate him and the element of light frequently plays a key role in his work, as we see in projects like Waterlicht, Smog Free Tower, Icoon Afsluitdijk, and in Presence.

Groninger Museum
Presence was a pioneering project not only for Roosegaarde but also for the Groninger Museum, with visitors actively influencing the look of the installation. It experimented with art and design and spurs us to rethink the concept of ‘the exhibition’. This innovative hybrid show builds on the Groninger Museum's ambition of focusing on the boundaries where art, design, fashion and technology meet. Presence was developed with the curators Sue-an van der Zijpp and Mark Wilson

Book
In conjunction with the exhibition, the renowned art book publisher Phaidon launched the English-language monograph Daan Roosegaarde. Lecturis simultaneously published a Dutch translation. The book features contributions by Nico Daswani of the World Economic Forum, Fumio Nanjo of Mori Arts Museum in Tokyo, Carol Becker of Columbia University in New York, and Daan Roosegaarde.",2019.6-2020.1
8,Groninger Museum,2019,Friends for Life,"For 40 years, the Friends of the Groninger Museum have been helping the museum to purchase works for its collection. To mark the anniversary, the museum is exhibiting a selection of these acquisitions. The show encompasses a wide range of objects, from centuries-old art to commercial design, from modern and contemporary art to craft. They’ve all got one thing in common: every piece has a Groningen connection.",2019.9-2020.1
9,Groninger Museum,2019,Rembrandt?!,"2019 is the year of Rembrandt van Rijn (Leiden 1606-1669 Amsterdam): it has been exactly 350 years since this world-famous Dutch painter passed away. Over the course of his life he created an estimated 350 paintings, 374 etchings and 1500 - 2000 drawings. The authenticity of Rembrandt's work is still a common discussion point within the art world. Nowadays, only 78 drawings can be attributed to Rembrandt with high certainty, thanks to their signature or contemporary sources. This core group now functions as a key in indentifying his other drawings.

Drawing with Rembrandt
If you wanted to be an artist back in the Golden Age, you would have to study under a professional artist. Rembrandt accepted pupils quite early on. He taught them to work in his own style. As their first lesson, his students would have to copy etchings, drawings and paintings by his hand. Drawings were mainly used as studies in his studio, which is why they are rarely signed. That makes it hard to distinguish Rembrandt's drawings from those of his students.

Real or not
None of the drawings in the collection of the Groninger Museum are part of the core group. Not all of them are attributed to Rembrandt (anymore) either. The drawings were compared to the 'core drawings' in terms of technique, style and subject matter. Sometimes it helps to analyse the used materials, such as the paper, although most of the time ownership is determined by taking a close look at the work. If you study the drawing materials, work methods, and stylistic markers, you will find subtle differences or uncomfortable aspects in the drawings – In the exhibition you can spot them too.",2019.6-2019.12
