Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
82.0,Noorderlicht,2019.0,Rahi Rezvani,"the iranian visual artist rahi rezvani 1978 doesn’t exhibit often it is therefore very special that from 16th january we are able to present a solo exhibition of him in our gallery featuring a number of firsts images that have never been seen on the wall before
rezvani is a gifted storyteller who speaks in powerful images he works without compromise authenticity is far more important to him than popularity in his photographic work rezvani is always looking for a chemical reaction between him and the shutter a way to put soul into his images stemming from his background as a fine art painter he says he uses the camera as a sort of airbrush craftsmanship is an explicit part of his work lighting and technical expertise bring him to his magical compositions printed on heavy matte photography paper “i don’t believe in photography without print” rezvani states

rezvani combines his talents as a filmmaker and photographer in longterm collaborations with artists collectives and companies in the realms of music theatre and fashion in addition to his pioneering work for the nederlands dans theater for which rezvani has been producing all the photographs campaigns films and books since 2006 noorderlicht  house of photography is mainly showing his work for the music industry just as corbijn is inexplicably linked to u2 rezvani is linked to the editors after photographing the british band at the tivoli temple of pop in utrecht in 2014 he was given free rein with regards to all their photography video clips and artwork rezvani’s design for the editors’ album violence was nominated for the art vinyl awards 2018 in the category ‘best album cover’ we are also showing the short music video prehension made for the dutch composer and pianist joep beving plus you can see shoots that rezvani has made for wende anohni and halina reijn among others",2019.1-2019.3
83.0,Noorderlicht,2019.0,"5 Artists
IN VIVO tempo","in vivo tempo is a poetic reflection on the relation between nature and culture for this occasion noorderlicht  house of photography is transformed into a film house full of chillout rooms and cinema spaces in vivo tempo features the work of five crossmedia artists who use the moving image to make the viewer aware of the fragile relationship between man and our seemingly natural environment the works have a meditative character with immersive soundtracks that allow the viewer to be transported in vivo tempo is a continuation on the theme of the earlier in vivo photography event curated by head curator wim melis
trailer

anne senstad norway 1967
a triptych of videos with visuals by senstad and music by jg thirlwell about the interaction between man nature and cultural history the work was shown at the venice biennale in 2015 jg thirlwell is a legendary musician who is also known under the aliases foetus steroid maximus and manorexia

the swamp
a lyrical homage to the american south where the swamp is the bearer of many tales they are valuable transitional ecosystems harbouring life and death beauty and darkness refuge and hunting swamps keep us alive they play an important role in stabilising the water balance and they represent a place of freedom for former slaves and other displaced groups

the sugarcane labyrinth
a portrait of the creation of agricultural land art on 5600 m2 of land in louisiana the labyrinth of sugarcane symbolises many culturalpolitical developments such as traditional agriculture versus largescale industry sustainability versus shrinkage but also community spirit new energy and traditional sugar production the video conveys the experience of wandering searchingly through an overwhelming environment interlaced with philosophical and spiritual texts about the labyrinth of the mind  



helen sear great britain 1955
sear explores the crossover between photography and art and has been focusing on the coexistence of man and nature in her work since the 1980s her work moves between photography sculpture sound and video and wishes to make optimal use of the artistic experience as a means of evoking involvement and activating people

wahaha biota
the film follows the daily forest management from tree planting to their processing in the sawmill the forest as a raw material and the forest as an environment come together in a video in which work and play intertwine in the soundtrack human voices are used as instruments in harmony with the sounds of nature the work is a lyrical study of man and forest the conclusion of a yearlong residency in dalby forest biota the flora and fauna of a specific area or period



christina seely united states 1976
seely sets out on an expedition to investigate the relationship between man time and planet she takes both natural and artificial systems as her subject the conflict between superficial documentation and underlying complexity is integral to the work noorderlicht has previously shown her series on light pollution in the photography festival metropolis

terra systema tempo
this work consists of two contrasting images which together represent the cycle of the planet respiro is about the rainforest as a living breathing system she created it while staying at the smithsonian tropical research station in panama flumen looks at the melting ice in greenland where seely participated in two scientific expeditions the ice water is shown in everincreasing intensity beginning with small streams and building up to enormous forces upon reaching the ocean her installation is a moving dialogue between the two ecological extremes at either end of western life



chris jordan united states 1963
chris jordan has evoked huge response with his photography series midway in which he showed how plastic filled the stomachs of thousands of deceased young albatrosses jordan is a multimedia artist and activist he wants to make the subconscious of our mass culture tangible the midway photographs have been shown by noorderlicht in the nature museum fryslan

albatross
the 90minute film albatross is a sequel to the photography series the film starts off as a loving nature documentary telling about the beauty of the albatross and its extraordinary life in the middle of the pacific ocean on the midway atoll thousands of kilometres away from civilisation but the film soon turns into horror as it shows parents feeding their children streams of coloured plastic the ground littered with dead chicks

the film is set up as a meditation to be experienced from start to finish and is therefore shown once a day at 2 pm



evan roth united states 1975
the internet is evan roth’s raw material based on a hacker philosophy he depicts transient moments in contemporary popular culture in doing so he uses various media including video one of his achievements he succeeded in getting to the top of google’s rankings with the search query ‘bad ass mother fucker’

red lines
under our feet and all around us is an invisible constantly mutating current roth searched for the physical anchor points the coastal locations where underground internet cables come ashore he made films of the landscape at these specific locations shot in the same infrared that shines through the optical cables in the artwork he streams the videos to the audience from servers operating at the locations concerned the soundtrack is created by scanning radio signals on the spot using ghost hunter equipment and combining them with sounds from the surrounding nature itself the work bears witness to a paradoxical silence between two worlds",2019.4-2019.5
84.0,Noorderlicht,2019.0,"Philippe Dudouit
The Dynamics of Dust","in the dynamics of dust philippe dudouit documents the new relationships that the various indigenous historically nomadic inhabitants of the sahelsaharan belt have forged with a territory they cannot pass through freely – or safely – anymore the region a former tourist paradise is now officially offlimits to foreigners due to a burgeoning abduction industry this has made the already dire economic situation even worse cutting off large parts of the population from an income essential to their subsistence

at first glance the rise of islamic terrorism in this area is to blame but a closer look reveals a reality that is much more complex the area now faces a dangerous cocktail of underdevelopment poverty and state failure the new transnational constellation of powers consists of armed islamists human traffickers drugs and weapon smugglers topped off by international interests jockeying to win oil gold and uranium mining rights the lack of political vision for the area’s future in combination with ongoing desertification due to climate change make up for a scenario in which a doomed generation is growing up

dudouit’s work is based on indepth historic geopolitical and cartographic documentation research and analysis as such the dynamics of dust 20082018 constitutes a longterm photographic study on the sociopolitical evolution of the sahelosaharan zone",2019.6-2019.8
85.0,Noorderlicht,2019.0,Martiniplaza | Noorderlicht 30 jaar,"on the occasion of the 30th anniversary noorderlicht we present a cross section of the photography that we presented over the last three decades in martiniplaza we show work by photographers from all corners of the globe whose work is connected to each other by the mission of noorderlicht to bring the audience in touch with imaginative socially relevant art
in 1990 a group of passionate photo enthusiasts decided to organize a photo party in groningen to celebrate the tenth anniversary of what was then still called the usva photo gallery that party grew into the first noorderlicht festival in the years that followed noorderlicht developed into a professional internationally acclaimed photo institution with the whole of the northern netherlands as its primary field of activity and a wide range of activities",2019.9-2019.12
86.0,Noorderlicht,2019.0,"Eddo Hartmann
The Collective Landscape (Natuurmuseum Fryslân)","noorderlicht and the university of groningen rug continue their collaboration in the ‘imagining science’ series each year they commission a photographer to depict a scientific research field in relation to the noorderlicht festivaltheme of the year thus a multifaceted and autonomous artistic image of scientific life will be created over the years the assignment for 2018 was given to eddo hartmann his series ‘the collective landscape’ is now exhibited in the natuurmuseum fryslân in leeuwarden nl
",2019.9-2020.1
87.0,Noorderlicht,2019.0,"15 Artists
50 Years Lauwersmeer | photo walking tour","background
after the flood of 1953 the safety of the dutch coastal areas was reexamined the dutch ministry of infrastructure and water management rijkswaterstaat was faced with the choice of raising the dikes around the lauwerszee or closing off the estuary the latter was chosen under pressure from the frisian population the people of groningen were less happy with the closure at the time because this forced the shrimp fleet of zoutkamp to move to the new port of lauwersoog

on may 23 1969 queen juliana supervised how the last caissons were sunk and secured two days later the lauwers sea had officially become a lake after the closure the highlying seabeds which previously belonged to the wadden became dry in the early years large parts of this were virtually left to their own devices so that much nature was created

walking route lauwersmeer ​​until august 16 2020
the walking route starts at parking strandweg click here in dutch for directions the presentation along a walking route was originally shown until may 23 2020 the day on which the lauwersmeer exists exactly 51 years but has been extended until the end of the summer holidays",2019.10-2020.8
88.0,Noorderlicht,2019.0,"Ton Broekhuis
Terzijde","ton broekhuis photographs beauty bloom and mortality in his immediate surroundings in the frisian area of stellingwerven with his dog as loyal walking companion he moves through the landscape and crawls deep into his own garden from blades of grass to woods to the little corpses of birds time after time there is the surprising richness of a seemingly unsightly nature thus sharing his lyrical gaze with the viewer the gaze of someone who sees what others do not in his work intimacy and abstraction alternate in grand journeys through a world within walking distance

a long oeuvre precedes this most recent work by the landscape photographer of the north for 30 years broekhuis has cherished the northern landscape’s vastness the freedom of emptiness his work deals with the feeling the land evokes any trueness to nature is subordinate to this the process of interpretation and experimentation – once in the dark room now in front of a screen – is where the work really comes to life

also on show in the exhibition is a crosssection from his earlier photographs and the many books he has published at the start of his career he worked for the magazinenieuwe revu among others and photographed socially engaged subjects later the landscape became central in his work his aesthetic language is already discernible in the early work about the meat industry and continues in his first projects on landscape and architecture with ‘een wijde blik verruimt het denken’a wide view expands thinking commissioned by the gado bus company he establishes his reputation",2019.1-2019.11
89.0,Noorderlicht,2020.0,"18 Artists
TEMPS ZERO","since 2012 the international collective temps zero – led by photographer and curator stéphane charpentier and sound artist alyssa moxley – has been bringing together a new generation of international experimental visual and sound artists the group travels across european cities in everchanging lineups with poetic exhibitions improvised concerts and workshop presentations 

 

this collectively supported art project is like a closeknit family of outsiders looking for their place in an unruly world the participants find each other in their existential drive for freedom and the intensely creative impulses that result from it together they fuse photography video sound art and music into penetrating sensory experiences 

 

from january 16 to april 12 2020 temps zero settles in groningen and presents an interactive installation in the noorderlicht studio in the halls images are combined with multitrack sound that responds via sensors to the movements of visitors a continuous projection is shown in a film room with a specially composed score 

  

— 

 

photos and video
michael ackerman gaël bonnefon martin bogren lorenzo castore stéphane charpentier clara chichin adam grossman cohen damien daufresne gabrielle duplantier theo elias nicu ilfoveanu marco marzocchi lorena morin patricia morosan alisa resnik gilles roudière gilles roudière m schueppel and marie sordat 

sound and music
alyssa moxley with david bryant godspeed you black emperor and vlad fenesan 

composition
stéphane charpentier with alyssa moxley patricia morosan and sandra demetrecu ",2020.1-2020.4
90.0,Noorderlicht,2020.0,Noorderlicht International Photo Festival 2020: Generation Z,"generation z the 27th edition of the noorderlicht international photo festival is about the youngest generation of world citizens born after 1995 what is their place in society how do they see their future what are their ambitions by tapping into the hopes and fears of generation z noorderlicht aims to provide insight into their young adult world a sharp selection has been made for the festival that shows a generation focusing on fundamental emancipation processes
generation z is the first group of digital world citizens to have an infinite amount of information at their fingertips from an early age on but they are also naturally aware of its problematic relationship with the truth generation z is witnessing the start of the fourth industrial revolution in which technology is turning labour relations and the very essence of humanity upside down z is confronted with climate threats and an exhausted earth it has no conscious memories of 911 or of a time without war on terror it grows up in a world where it sees itself surrounded by work pressure problems economic stagnation and nationalistic sentiment they are young adults with less expectations of a stable future than their parents something they hold previous generations responsible for

new balance
if one thing is clear to this generation it’s this the current system no longer suffices they collectively take to the streets to bring about change and fight hand in hand for a new balance between the forces that must guarantee the future of this planet z is clearing up radically speeding up things like equality and inclusiveness subjects such as decolonialisation gender equality and body positivity are high on the agenda and that is just the beginning generation z is about realising a turning point creating a basis for a new future and taking responsibility in this story it is the personification of a change in thinking and acting in which all generations will have to participate

guest curator robert jan verhagen
robert jan verhagen was active as initiator  artistic director in the hague at successively 1646  tag and lhgwr verhagen loves customization which shows from the special way in which he has been engaged in talent development over the past decade the sustainable trajectories that he undertook with diverse photographic talent have resulted in wonderful and successful careers his eye for young makers was the main motivation to ask verhagen for this edition of noorderlicht festival",2020.7-2020.9
91.0,Noorderlicht,2020.0,"Ton Broekhuis
Aside","ton broekhuis photographs beauty bloom and death in his immediate surroundings in the frisian area of stellingwerven he walks through the landscape and crawls deep into his own garden from blades of grass and woods to flower buds and bird corpses time and again encountering the surprising richness of a seemingly unsightly nature in his work intimacy and abstraction alternate in grand journeys through a world within walking distance
since the eighties ton broekhuis 1951 is a passionate photographer who also devoted himself fully to the development of socially engaged photography in the northern netherlands this path led to the founding of the noorderlicht photo festival in 1990 of which he became director in the years that followed noorderlicht developed into a dynamic and idiosyncratic institution earning international respect after his retirement broekhuis picked up his camera anew

in 2018 noorderlicht presented this exhibition in her studio in groningen de volkskrant awarded five stars “the mortality of things sets the theme of his photographs in which he isolates plants that have ceased blossoming driedup seed chambers and dandelion clocks from their surroundings by placing them in front of a black background these little mortals bathe in a soft autumn light crying out in all their insignificance for an attentive eye”",2020.10-2020.12
