,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
82,Noorderlicht,2019,Rahi Rezvani,"The Iranian visual artist Rahi Rezvani (1978) doesn’t exhibit often. It is therefore very special that from 16th January, we are able to present a solo exhibition of him in our gallery, featuring a number of firsts: images that have never been seen on the wall before.
Rezvani is a gifted storyteller who speaks in powerful images. He works without compromise, authenticity is far more important to him than popularity. In his photographic work, Rezvani is always looking for a chemical reaction between him and the shutter. A way to put soul into his images. Stemming from his background as a fine art painter, he says he uses the camera as a sort of airbrush. Craftsmanship is an explicit part of his work: lighting and technical expertise bring him to his magical compositions, printed on heavy, matte photography paper. “I don’t believe in photography without print”, Rezvani states.

Rezvani combines his talents as a filmmaker and photographer in long-term collaborations with artists, collectives and companies in the realms of music, theatre and fashion. In addition to his pioneering work for the Nederlands Dans Theater, for which Rezvani has been producing all the photographs, campaigns, films and books since 2006, Noorderlicht | House of Photography is mainly showing his work for the music industry. Just as Corbijn is inexplicably linked to U2, Rezvani is linked to the Editors. After photographing the British band at the Tivoli temple of pop in Utrecht in 2014, he was given free rein with regards to all their photography, video clips and artwork. Rezvani’s design for the Editors’ album Violence was nominated for the Art Vinyl Awards 2018 in the category ‘best album cover’. We are also showing the short music video Prehension, made for the Dutch composer and pianist Joep Beving. Plus, you can see shoots that Rezvani has made for Wende, Anohni and Halina Reijn, among others.",2019.1-2019.3
83,Noorderlicht,2019,"5 Artists
IN VIVO tempo","IN VIVO tempo is a poetic reflection on the relation between nature and culture. For this occasion, Noorderlicht | House of Photography is transformed into a film house, full of chillout rooms and cinema spaces. IN VIVO tempo features the work of five cross-media artists who use the moving image to make the viewer aware of the fragile relationship between man and our seemingly natural environment. The works have a meditative character with immersive soundtracks that allow the viewer to be transported. IN VIVO tempo is a continuation on the theme of the earlier IN VIVO photography event, curated by head curator Wim Melis.
trailer

ANNE SENSTAD (NORWAY, 1967)
A triptych of videos with visuals by Senstad and music by JG Thirlwell, about the interaction between man, nature and cultural history. The work was shown at the Venice Biennale in 2015. JG Thirlwell is a legendary musician who is also known under the aliases Foetus, Steroid Maximus and Manorexia.

The Swamp
A lyrical homage to the American South, where the swamp is the bearer of many tales. They are valuable, transitional ecosystems harbouring life and death, beauty and darkness, refuge and hunting. Swamps keep us alive: they play an important role in stabilising the water balance and they represent a place of freedom for former slaves and other displaced groups.

The Sugarcane Labyrinth
A portrait of the creation of agricultural land art on 5600 m2 of land in Louisiana. The labyrinth of sugarcane symbolises many cultural-political developments, such as traditional agriculture versus large-scale industry, sustainability versus shrinkage, but also community spirit, new energy and traditional sugar production. The video conveys the experience of wandering searchingly through an overwhelming environment, interlaced with philosophical and spiritual texts about the labyrinth of the mind.  

***************

HELEN SEAR (GREAT BRITAIN, 1955)
Sear explores the crossover between photography and art and has been focusing on the coexistence of man and nature in her work since the 1980s. Her work moves between photography, sculpture, sound and video and wishes to make optimal use of the artistic experience as a means of evoking involvement and activating people.

Wahaha Biota
The film follows the daily forest management from tree planting to their processing in the sawmill. The forest as a raw material and the forest as an environment come together in a video in which work and play intertwine. In the soundtrack, human voices are used as instruments, in harmony with the sounds of nature. The work is a lyrical study of man and forest, the conclusion of a year-long residency in Dalby Forest. (Biota: the flora and fauna of a specific area or period.)

***************

CHRISTINA SEELY (UNITED STATES, 1976)
Seely sets out on an expedition to investigate the relationship between man, time and planet. She takes both natural and artificial systems as her subject. The conflict between superficial documentation and underlying complexity is integral to the work. Noorderlicht has previously shown her series on light pollution in the photography festival Metropolis.

Terra Systema Tempo
This work consists of two contrasting images which together represent the cycle of the planet. Respiro is about the rainforest as a living, breathing system; she created it while staying at the Smithsonian Tropical Research Station in Panama. Flumen looks at the melting ice in Greenland, where Seely participated in two scientific expeditions. The ice water is shown in ever-increasing intensity, beginning with small streams and building up to enormous forces upon reaching the ocean. Her installation is a moving dialogue between the two ecological extremes at either end of Western life.

***************

CHRIS JORDAN (UNITED STATES, 1963)
Chris Jordan has evoked huge response with his photography series Midway, in which he showed how plastic filled the stomachs of thousands of deceased young Albatrosses. Jordan is a multimedia artist and activist; he wants to make the subconscious of our mass culture tangible. The Midway photographs have been shown by Noorderlicht in the Nature Museum Fryslan.

Albatross
The 90-minute film Albatross is a sequel to the photography series. The film starts off as a loving nature documentary, telling about the beauty of the Albatross and its extraordinary life in the middle of the Pacific Ocean, on the Midway atoll thousands of kilometres away from civilisation. But the film soon turns into horror as it shows parents feeding their children streams of coloured plastic, the ground littered with dead chicks.

The film is set up as a meditation to be experienced from start to finish, and is therefore shown once a day, at 2 pm.

***************

EVAN ROTH (UNITED STATES, 1975)
The internet is Evan Roth’s raw material. Based on a hacker philosophy, he depicts transient moments in contemporary popular culture. In doing so, he uses various media, including video. One of his achievements: he succeeded in getting to the top of Google’s rankings with the search query ‘bad ass mother fucker’.

Red Lines
Under our feet and all around us is an invisible, constantly mutating current. Roth searched for the physical anchor points: the coastal locations where underground internet cables come ashore. He made films of the landscape at these specific locations, shot in the same infrared that shines through the optical cables. In the artwork, he streams the videos to the audience from servers operating at the locations concerned. The soundtrack is created by scanning radio signals on the spot using ghost hunter equipment and combining them with sounds from the surrounding nature itself. The work bears witness to a paradoxical silence between two worlds.",2019.4-2019.5
84,Noorderlicht,2019,"Philippe Dudouit
The Dynamics of Dust","In THE DYNAMICS OF DUST Philippe Dudouit documents the new relationships that the various indigenous, historically nomadic inhabitants of the Sahel-Saharan belt have forged with a territory they cannot pass through freely – or safely – anymore. The region, a former tourist paradise, is now officially off-limits to foreigners due to a burgeoning abduction industry. This has made the already dire economic situation even worse, cutting off large parts of the population from an income essential to their subsistence.

At first glance, the rise of Islamic terrorism in this area is to blame, but a closer look reveals a reality that is much more complex. The area now faces a dangerous cocktail of underdevelopment, poverty and state failure. The new, transnational constellation of powers consists of armed islamists, human traffickers, drugs and weapon smugglers, topped off by international interests jockeying to win oil, gold and uranium mining rights. The lack of political vision for the area’s future, in combination with ongoing desertification due to climate change make up for a scenario in which a doomed generation is growing up.

Dudouit’s work is based on in-depth historic, geopolitical and cartographic documentation, research and analysis. As such, THE DYNAMICS OF DUST (2008-2018) constitutes a long-term photographic study on the socio-political evolution of the Sahelo-Saharan zone.",2019.6-2019.8
85,Noorderlicht,2019,Martiniplaza | Noorderlicht 30 jaar,"On the occasion of the 30th anniversary Noorderlicht, we present a cross section of the photography that we presented over the last three decades. In MartiniPlaza we show work by photographers from all corners of the globe, whose work is connected to each other by the mission of Noorderlicht: to bring the audience in touch with imaginative, socially relevant art.
In 1990, a group of passionate photo enthusiasts decided to organize a photo party in Groningen to celebrate the tenth anniversary of what was then still called the USVA Photo Gallery. That party grew into the first Noorderlicht festival. In the years that followed, Noorderlicht developed into a professional, internationally acclaimed photo institution, with the whole of the Northern Netherlands as its primary field of activity and a wide range of activities.",2019.9-2019.12
86,Noorderlicht,2019,"Eddo Hartmann
The Collective Landscape (Natuurmuseum Fryslân)","Noorderlicht and the University of Groningen (RUG) continue their collaboration in the ‘Imagining Science’ series. Each year they commission a photographer to depict a scientific research field in relation to the Noorderlicht festival-theme of the year. Thus, a multifaceted and autonomous artistic image of scientific life will be created over the years. The assignment for 2018 was given to Eddo Hartmann. His series ‘The Collective Landscape’ is now exhibited in the Natuurmuseum Fryslân in Leeuwarden (NL).
",2019.9-2020.1
87,Noorderlicht,2019,"15 Artists
50 Years Lauwersmeer | photo walking tour","Background
After the flood of 1953, the safety of the Dutch coastal areas was re-examined. The Dutch Ministry of Infrastructure and Water Management (Rijkswaterstaat) was faced with the choice of raising the dikes around the Lauwerszee or closing off the estuary. The latter was chosen under pressure from the Frisian population. The people of Groningen were less happy with the closure at the time, because this forced the shrimp fleet of Zoutkamp to move to the new port of Lauwersoog.

On May 23, 1969, Queen Juliana supervised how the last caissons were sunk and secured. Two days later, the Lauwers Sea had officially become a lake. After the closure, the high-lying seabeds (which previously belonged to the Wadden) became dry. In the early years, large parts of this were virtually left to their own devices, so that much nature was created.

Walking route Lauwersmeer: ​​until August 16, 2020
The walking route starts at Parking Strandweg, click here (in Dutch) for directions. The presentation along a walking route was originally shown until May 23, 2020, the day on which the Lauwersmeer exists exactly 51 years, but has been extended until the end of the summer holidays.",2019.10-2020.8
88,Noorderlicht,2019,"Ton Broekhuis
Terzijde","Ton Broekhuis photographs beauty, bloom and mortality in his immediate surroundings in the Frisian area of Stellingwerven. With his dog as loyal walking companion, he moves through the landscape and crawls deep into his own garden. From blades of grass to woods to the little corpses of birds, time after time there is the surprising richness of a seemingly unsightly nature. Thus, sharing his lyrical gaze with the viewer, the gaze of someone who sees what others do not. In his work intimacy and abstraction alternate, in grand journeys through a world within walking distance.

A long oeuvre precedes this most recent work by the landscape photographer of the North. For 30 years, Broekhuis has cherished the northern landscape’s vastness, the freedom of emptiness. His work deals with the feeling the land evokes, any trueness to nature is subordinate to this. The process of interpretation and experimentation – once in the dark room, now in front of a screen – is where the work really comes to life.

Also on show in the exhibition is a cross-section from his earlier photographs and the many books he has published. At the start of his career he worked for the magazineNieuwe Revu, among others, and photographed socially engaged subjects, later the landscape became central in his work. His aesthetic language is already discernible in the early work about the meat industry and continues in his first projects on landscape and architecture. With ‘Een wijde blik verruimt het denken’(A wide view expands thinking), commissioned by the GADO bus company, he establishes his reputation.",2019.1-2019.11
89,Noorderlicht,2020,"18 Artists
TEMPS ZERO","Since 2012, the international collective Temps Zero – led by photographer and curator Stéphane Charpentier and sound artist Alyssa Moxley – has been bringing together a new generation of international experimental visual and sound artists. The group travels across European cities in ever-changing line-ups, with poetic exhibitions, improvised concerts and workshop presentations. 

 

This collectively supported art project is like a close-knit family of outsiders, looking for their place in an unruly world. The participants find each other in their existential drive for freedom and the intensely creative impulses that result from it. Together they fuse photography, video, sound art and music into penetrating sensory experiences. 

 

From January 16 to April 12, 2020, Temps Zero settles in Groningen and presents an interactive installation in the Noorderlicht studio. In the halls, images are combined with multi-track sound that responds via sensors to the movements of visitors. A continuous projection is shown in a film room with a specially composed score. 

  

— 

 

Photos and video
Michael Ackerman, Gaël Bonnefon, Martin Bogren, Lorenzo Castore, Stéphane Charpentier, Clara Chichin, Adam Grossman Cohen, Damien Daufresne, Gabrielle Duplantier, Theo Elias, Nicu Ilfoveanu, Marco Marzocchi, Lorena Morin, Patricia Morosan, Alisa Resnik, Gilles Roudière, Gilles Roudière M Schueppel and Marie Sordat. 

Sound and music
Alyssa Moxley, with David Bryant (Godspeed You! Black Emperor) and Vlad Fenesan. 

Composition
Stéphane Charpentier, with Alyssa Moxley, Patricia Morosan and Sandra Demetrecu. ",2020.1-2020.4
90,Noorderlicht,2020,Noorderlicht International Photo Festival 2020: Generation Z,"GENERATION Z, the 27th edition of the Noorderlicht International Photo Festival, is about the youngest generation of world citizens, born after 1995. What is their place in society, how do they see their future, what are their ambitions? By tapping into the hopes and fears of Generation Z, Noorderlicht aims to provide insight into their young adult world. A sharp selection has been made for the festival, that shows a generation focusing on fundamental emancipation processes.
Generation Z is the first group of digital world citizens to have an infinite amount of information at their fingertips from an early age on. But they are also naturally aware of its problematic relationship with the truth. Generation Z is witnessing the start of the fourth industrial revolution, in which technology is turning labour relations and the very essence of humanity upside down. Z is confronted with climate threats and an exhausted earth. It has no conscious memories of 9/11 or of a time without war on terror. It grows up in a world where it sees itself surrounded by work pressure problems, economic stagnation and nationalistic sentiment. They are young adults with less expectations of a stable future than their parents, something they hold previous generations responsible for.

New balance
If one thing is clear to this generation it’s this: the current system no longer suffices. They collectively take to the streets to bring about change and fight hand in hand for a new balance between the forces that must guarantee the future of this planet. Z is clearing up radically, speeding up things like equality and inclusiveness. Subjects such as de-colonialisation, gender equality and body positivity are high on the agenda, and that is just the beginning. Generation Z is about realising a turning point, creating a basis for a new future and taking responsibility. In this story it is the personification of a change in thinking and acting, in which all generations will have to participate.

Guest curator: Robert Jan Verhagen
Robert Jan Verhagen was active as initiator / artistic director in The Hague at successively 1646, <> TAG and LhGWR. Verhagen loves customization, which shows from the special way in which he has been engaged in talent development over the past decade. The sustainable trajectories that he undertook with diverse photographic talent have resulted in wonderful and successful careers. His eye for young makers was the main motivation to ask Verhagen for this edition of Noorderlicht Festival.",2020.7-2020.9
91,Noorderlicht,2020,"Ton Broekhuis
Aside","Ton Broekhuis photographs beauty, bloom and death in his immediate surroundings in the Frisian area of Stellingwerven. He walks through the landscape and crawls deep into his own garden. From blades of grass and woods to flower buds and bird corpses, time and again encountering the surprising richness of a seemingly unsightly nature. In his work intimacy and abstraction alternate, in grand journeys through a world within walking distance.
Since the eighties, Ton Broekhuis (1951) is a passionate photographer, who also devoted himself fully to the development of socially engaged photography in the Northern Netherlands. This path led to the founding of the Noorderlicht Photo Festival in 1990, of which he became director. In the years that followed, Noorderlicht developed into a dynamic and idiosyncratic institution, earning international respect. After his retirement, Broekhuis picked up his camera anew.

In 2018, Noorderlicht presented this exhibition in her Studio in Groningen. De Volkskrant awarded five stars. “The mortality of things sets the theme of his photographs, in which he isolates plants that have ceased blossoming, dried-up seed chambers and dandelion clocks from their surroundings by placing them in front of a black background. These little mortals bathe in a soft autumn light, crying out in all their insignificance for an attentive eye.”",2020.10-2020.12
