Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
125.0,Synagogue,2020.0, Gezinus Wolthers (SFS),"the work of gezinus wolthers sfs  5 january  2 february 
this exhibition shows the virtually unknown work of the groningen 
artist gezinus wolthers 19322018 wolthers daughter has been 
active for sfs for many years and provided the interpretation for this retrospective the 
exhibition contrast came about in collaboration with painter rein 
pol groningen 1949 he taught wolthers at minerva academy and later became a 
later became friends with the painter

translated with deeplcom free version",2020.1-2020.2
126.0,Synagogue,2020.0,Levenslicht,"the monument levenslicht was part of a nationwide project of the 
national committee 4 and 5 may in which more than 150 dutch municipalities 
participated stones are important in the jewish commemoration tradition as well as in roma and sinti culture artist daan roosegaarde used this tradition 
as inspiration with a total of 104000 
luminous stones  equal to the number of victims from the netherlands  the 
artwork symbolises the overwhelming significance of the holocaust the 
names of the murdered jewish stadjers could be read at the levenslicht in 
the memorial book provided by author johan van gelder",2020.1-2020.2
127.0,Synagogue,2020.0,Composers in Wartime,"as a result of covid19 this exhibition was extended so that it could be seen 1 month 
before and one month after the first lockdown
this exhibition developed by the leo smit foundation tells stories 
about 22 composers who were persecuted in the netherlands during world war ii 
were persecuted the war had a major impact on their careers and later work 
for some their work was completely forgotten through 
15
an audio app visitors could actually hear the work in the beautiful 
space perhaps that is the finest tribute to these composers",2020.2-2020.7
128.0,Synagogue,2020.0,Freedom with a Black Edge,"how did the jewish community in groningen recover after the end of the 
second world war this question was at the centre of our summer exhibition the 
exhibition showed how the small remnant of the flourishing 
community in 1945 still tried to resume jewish life in the province of 
groningen this was not a celebratory story of liberated groningen 
but a story of forgotten and concealed injustice but also of a 
hopeful and courageous new generation",2020.7-2020.9
129.0,Synagogue,2020.0,Viewing days Gallery Richard ter Borg,"neighbour and gallery owner richard ter borg showed over 300 works of art 
including many groninger ploeg  in the synagogue masterpieces by jannes de 
vries johan dijkstra and jan wiegers were on show and of course bidding could 
during the closing auction evening this time entirely online",2020.10-2020.11
130.0,Synagogue,2020.0,World Press Photo ,"as a result of a twoweek lockdown this exhibition could open a week later 
opened a week later
the most iconic press photos of the past year were shown  for the third 
time in a row  displayed in the synagogue at the gallery the local 
photo exhibition rise up was shown this exhibition explored the power of 
local initiative and protest northern photographers told the story of 
civic initiatives protests and the people fighting for their ideals
",2020.11-2020.12
131.0,Synagogue,2021.0,Reise ins Jüdische Ostfriesland,"synagogue groningen stimulates active involvement in the jewish culture and history of the city of groningen the region and the border region with east friesland the permanent exhibition invites you to become acquainted with the stories that connect history and current events with digital storytelling personal stories come to life

 

the jewish rituals customs and festivals form a common thread through the building diy objects allow you to interactively experience why shabbat is celebrated weekly what passover and hanukkah mean and how the dietary laws of kashrut ensure a kosher jewish household

​

naturally the special architecture and the remarkable history of the building are highlighted in the audio tour bertien minco takes you along the moments in her family history in which the synagogue in the folkingestraat and the jewish community in groningen are present

the synagogue is naturally a place of remembrance as well as a lively place for cultural activities and an educational center about jewish religion and customs of course the jewish community holds shul here

​

in collaboration with the oude groninger kerken foundation the owner of the building the structural adjustment of the building was completed in 2021 after that the realization of the permanent exhibition was completed a longstanding wish of the synagogue groningen and the dutchisraelite municipality of groningen

historian and exhibition maker willy van der schuit worked out designed and realized the plans together with design collective groningen consisting of studio eye candy 212 fahrenheit opmaat3d and jzprodo the new interior has become part of the striking monument the permanent exhibition a source for further exploration of the rich history of jewish groningen

why were there so many small jewish communities in the groningeneast frisian border region and what was the reason for migration today it is hard to imagine that there were lively jewish communities in bunde jemgum weener but also in nieuweschans winschoten and bourtange unlike in germany in some dutch villages the former synagogues still remind us of this lost life from leer dr juliane irma mihan worked on the scientific research which resulted in the book in 2021  jewish life in the border area  part of the research has been incorporated into the traveling exhibition that will arrive in synagoge groningen from july 2021 via weener bunde winschoten and bourtange which will eventually arrive in synagogue groningen in december 2021",2018-2021
132.0,Synagogue,2021.0,Ter Borg Gallery viewing days ,"neighbour and gallery owner richard ter borg showed over 300 artworks  including many 
groninger ploeg  in the synagogue masterpieces by jannes de vries johan dijkstra and jan wiegers 
were on display and of course bidding was possible during the closing online auction evening",2021.6
133.0,Synagogue,2021.0,Design for living. Living for design,"forty years ago synagogue groningen was reopened after an extensive restoration 
reopened since then the building has had a sacred space designed by industrial designer piet 
cohen born arnhem 1935 because of this anniversary sfs displayed the versatile work 
of the still active designer the exhibition naturally paid special attention to the 
anniversary synagogue this exhibition could be realised with a project grant from stichting 
levie lassen",2021.7-2021.10
134.0,Synagogue,2021.0,Art fair Groninger galleries,"in a fiveday art fair gallery owner richard ter borg together with four other groningen 
galleries  galerie with tsjalling prentwerk philip elchers and peter ter braak  showed a selection of their 
offerings ",2021.10
135.0,Synagogue,2021.0,World Press Photo 2021 and Fair Fashion,"the most iconic press photos of the past year were displayed during the nonfictionphoto festival 
displayed at synagoge groningen the gallery featured the local photo exhibition fair fashion 
displayed with the subject of todays clothing industry",2021.11-2021.12
136.0,Synagogue,2021.0,Jewish life in the border region,"sfs developed this exhibition together with the ehemalige jüdische schule as part of the 
project of the same name the exhibition opened in leer in july 2021 after which it 
travelled on to bunde weener winschoten den the synagogue of bourtange the exhibition tells the 
story of the former jewish communities in the border region and the interrelationships between 
jews in ostfriesland and groningen part of the exhibition will be integrated into our 
permanent exhibition see also the previously sent final report on museum layout",2021.12-2022.2
137.0,Synagogue,2022.0,Material heritage,"material heritage
as a professional museum it is very important that we know what we keep but also
why we keep it this will be included in our collection plan our april 2022 appointee
curator has started an inventory and a description of the collection in accordance with the
applicable standards see also 4 organization we could get a new one almost every month
add an object to our collection
acquisitions highlighted
on june 30 2022 cantor daniël colthof performed
israel a concert in our synagogue daniel is the grandson
by abraham levie who died before the second world war
was a religious teacher and cantor of the jewish one
municipality of stadskanaal levie was one of them after the war
the few teachers and cantors in our province and
therefore did not serve only the little one left
municipality in stadskanaal but also that of the city
groningen levie died in 1970 his daughter was
present at her son daniëls concert from the
her fathers estate she gave us two
rabbinate stamps of the groningen district this
stamps are utensils with a ritual
meaning
carla havinga kept her old poetry album until her death in 2006 the album had her three
jewish friends the sisters franziska 19301943 marga 19271943 and zitta cohen
19311943 three girls born in esens east friesland because of the rising tide of nazism
fled to groningen they wrote between 28
august and september 1 1942 in the notebook
the family was deported on december 24 1942
from the groningen schilderswijk to kamp
westerbork none of the three sisters returned
back carla kept the poetry album and
told the story of her friends
her daughter her daughter decided it
poetry album to be transferred to the synagogue
groningen the donation of the poetry album is
also shared with our partners at the august gottschalk haus in esens where the cohen family
is also commemorated",##
138.0,Synagogue,2022.0,View of City,"kunst behoud groningen  formerly stichting behoud beeldende kunsten groningen  celebrated its 
30th anniversary with the exhibition view of the city jewish stories behind the facades in synagoge 
groningen this exhibition showed a selection of groningen cityscapes that kunst 
preservation groningen has collected over the three decades of its existence many artworks are 
feast of recognition while other artworks show just how a location has been unrecognisably 
changed in the exhibition the locations portrayed were linked to stories by and about 
the jewish groningers who lived or worked there

translated with deeplcom free version",2022.2-2022.5
139.0,Synagogue,2022.0,Every Name Counts,"at the initiative of local resident and photographer robert mulder an installation was created consisting 
of the street plan of the herepoort neighbourhood on the impressive model were the houses 
placed of the jewish residents of this neighbourhood on the houses was the too short life story of 
residents could be read on the houses",2022.5
140.0,Synagogue,2022.0,Art without Borders,"an iranian artist in synagogue groningen yes indeed art is the means par excellence to 
connection and mutual understanding this exhibition was organised in collaboration with 
la bohème foundation and stichting oude groninger kerken location akerk the iranian artist 
hossein tadi showed drew many hands during the coronalockdown after all we were not allowed to touch each other  anywhere in 
world  not to touch to avoid contamination after all his dutch contact 
willem vugteveen pointed hossein to the work of dutch artist edu waskowsky 1934
1976 the designer of the jewish monument on verlengde hereweg impressed by the 
monument and its extraordinary story hossein made seven giant hands as a tribute 
which were on display in the synagogue from july the large exhibition at the akerk featured more work 
by hossein tadi and by fellow artists amir mohammadzadeh and farhad gavzan
we featured the extraordinary story of edu waskowsky and hossein tadi in the twopart
podcast art without borders thanks to a successful crowdfunding campaign at voordekunst we could 
realise this documentary",2022.6-2022.7
141.0,Synagogue,2022.0,Impressions of Israel by Peter Wortel ,"how do you experience jewish culture if you are blind or visually impaired artist peter wortel from sauwerd 
showed thirty woodcuts he made following a trip to israel with his son jaap 
who is blind the woodcuts contain scenes  a visit to yad vashem a meeting with 
ultraorthodox jews a visit to the wailing wall  where the interaction between father and son is 
is clarified with poems sometimes comical sometimes emotional in addition root showed some 
eight wall reliefs in which he expressed the rich jewish symbolism and tradition and also told something 
of his own jewish background linked to this exhibition was the feel the shul project 
which made the exhibition accessible to people with visual impairments",2022.8-2022.10
142.0,Synagogue,2022.0,NonFiction Photo Festival,"the most iconic press photos of the past year were displayed during the nonfictionphoto festival 
displayed at synagoge groningen the gallery featured the local photo exhibition future food
displayed covering the problems challenges but also possible solutions in the field 
of food production ",2022.11-2022.12
143.0,Synagogue,2022.0,Portraits of Enlightenment ,"almost every worldview does something with light groningen artist ron glasbeek drew 
seven giant portraits of enlightenment including the jewish menorah in this exhibition 
visitors an explanation of the different sources of light in judaism there are numerous 
moments where light plays an important role this is also explained in words and images in this 
exhibition from personal stories surrounding the weekly shabbat evening to the 
eternal light from the groningen youth shul",2022.12-2023.4
144.0,Synagogue,2023.0,Rendezvous with Jip Wijngaarden ,"jip wijngaarden returns to synagogue groningen jip developed a style best described as figurative expressionism in her paintings we meet faces that have been through a lot eyes that look at you piercingly as if they want to tell you something they take you away and invite you into their world where there is room for pain and comfort fear and hope even if the subject matter is heavy  like the work about world war ii  people experience hope
and light the current work has become much lighter in terms of colour there is a lot of joy in it this exhibition is realised in cooperation with museum sjoel elburg we are raising additional funding for this exhibition",2023.6-2023.10
145.0,Synagogue,2023.0,"Silent objects, telling stories","following the completion of our permanent exhibition in 2021 numerous new objects have been acquired equipped with explanatory texts in words and images we highlight these collection pieces we show ordinary utensils that carry a special story all objects have one thing in common they are characteristic of the jewishgroningen identity from a beautiful painting to a small farewell note
for us this temporary exhibition is a way to highlight our part in the collectie groningen we are raising additional funding for this exhibition
abraham jozef polak is best known as the puddingpolak he came to the city of groningen from wildervank in 1903 polaks now demolished house in wildervank on nijverheidsstraat was drawn by siem de vries 19202004 in 1974 his work is associated with that of the groninger ploeg although he never attempted to join them
in addition synagoge groningen provides a stage for several exhibitions facilitated by us see also 22 scope
 viewing daysart fair gallery ter borg may and october sales exhibition visitors can visit the synagogue free of charge
 nonfiction photo festival 2023 november  december
synagoge groningen continues its collaboration with nonfiction photo foundation during the festival you will see the worldfamous world press photo exhibition and a local exhibition around a topical theme",2023.12-2024.4
146.0,Synagogue,2024.0,Travel to Jewish East Frisia,"“journey to jewish east frisia” is a joint project of around twenty cultural institutions on the east frisian peninsula that are committed to the visibility of jewish life in east frisia in 2013 on the occasion of the 75th anniversary of the 1938 progrom night in germany a total of seventeen institutions including nine museums and almost all former synagogue communities came together to form a working group

since then the network which has been able to win over more and more people and institutions over the years has met regularly under the lead organization of the east frisian landscape cultural agency after the national socialists came to power jewish culture in east frisia disappeared remarkably quickly from the everyday life of jews and nonjews compared to the rest of germany the project “journey to jewish east frisia” is reminiscent of the once vibrant jewish life in the region

this happens through the diverse commitment of the network partners the various projects impressively show how a topic can be viewed from very different perspectives however everyone is particularly concerned with giving a face to the diverse jewish life in east frisia up to the shoah and beyond because shared memory is a path to healing and thus reconciliation",##
