Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
0.0,Groninger Museum,2019.0,In the Ploeg Pavilion,"a collective of artists from groningen

in 1918 several young artists take the initative to found the art collective known as de ploeg meaning both “the plough” and “the group” this name was carefully selected art in groningen was like undeveloped land and needed to be ploughed thoroughly before something new could grow by joining forces and organizing shared expositions and other activities groningen could be prepared for modern art

de ploeg
everything about de ploeg
here you can find information about de ploeg the artists the history and development of the group references to collections and highlights
de ploeg was founded in 1918 in response to the artistic climate in the city of groningen a number of younger artists believed that the opportunities to exhibit and develop were too limited they hoped to be able to organize exhibitions of de ploeg members and also to introduce artists and the public to the latest developments in the field of visual art architecture literature in the form of exhibitions and lectures the initiators included jan wiegers johan dijkstra george martens and jan altink the latter came up with the name for the association he decided that a lot of ground had to be cultivated in groningen with regard to modern art and therefore proposed the name de ploeg meaning the plough

the association did not have a substantive program anyone who engaged in serious art could join from the beginning de ploeg therefore had members who worked in completely different directions and styles

although de ploeg continued to exist  and still exists  as an association its arthistorical significance lies in the 1920s when within its ranks an expressionist and impressionist trend was successively developed characterized by a close connection to the groningen region as well as international artistic orientation the most important artists who were members of de ploeg during that period include jan wiegers jan altink johan dijkstra hendrik werkman george martens jan jordens jan van der zee and job hansen
soon led by jan wiegers a group of painters within de ploeg was formed that found inspiration in expressionism from 1922 they left an emphatic mark on all association activities although his style was already developing towards expressionism wiegers converted to expressionism permanently during his sojourn in switzerland in 19201921 due to illness wiegers stayed in davos where he met ernst ludwig kirchner the most prominent representative of german expressionism kirchner’s personality and style made a decisive impression on wiegers when having returned to groningen wiegers introduced expressionism and gave a new direction to the artictic style of de ploeg at his request artists such as altink dijkstra werkman and martens gave in to experiments with colour wax paint and expressive forms of graphic art

de ploegs expressionism can be traced back to the work of artists such as vincent van gogh edvard munch and piet van wijngaerdt but found her artistic grammar in the work of kirchner the period in which groningen expressionism set the tone within de ploeg lasted only briefly around 1926 wiegers and altink moderated their colour palette and dijkstra returned to a more impressionistic way of working about three years later werkman who had less emphatically engaged with kirchner’s style developed his own expressionist painting but was mainly concerned with his printing initially with the help of his hand press later using stamping and stencil techniques he produced his famous prints which were both figurative and abstract
under the influence of jan altink a second period arose around 1927 in which a clearly recognizable school within de ploeg was leading it was impressionistic in nature and characterized by an extremely expressive brushwork and a light and transparent use of colour the most startling results in this direction were achieved by altink and job hansen the latter developed his own painting technique in which diluted oil paint was spread on prepared panels in an almost watercolourlike manner

the way in which expressiveness was determined in his work by the painters material pointed forward to the experimental and abstract expressionist forms of art that would develop after world war ii
constructivism which developed from 1923 in the work of wobbe alkema jan van der zee and in the printing art of hendrik werkman was an independent school within modern art in groningen unlike expressionism this style did not develop into an important trend within de ploeg because van der zee ultimately worked only in a constructivist way for one year werkman also worked in an expressionist style wobbe alkema the only constructivist by conviction was only a member of de ploeg for less than a year in 19241925 most of his work was created outside de ploeg",2018.1-2025.3
1.0,Groninger Museum,2019.0,Collection of the Groninger Museum,the groninger museum’s collection is fascinatingly varied get acquainted with suffragette aletta jacobs through a portrait painted by isaac israëls discover the expressionism of groningen’s de ploeg artists and be surprised by the striking designs of the memphis group a gleaming trove of groningen silver with a miniature martini tower as its highlight greets you in the treasure room and of course there’s plenty of local history and culture too,2018.1-2025.3
2.0,Groninger Museum,2019.0,Memphis Design,memphis design one evening in december 1980 italian designer ettore sottsass convened an international group of young designers this was the moment when the memphis group came into existence their goal was to create exciting designs with bright colors asymmetrical shapes and with combinations of cheap and expensive materials memphis gave the groninger museum the impetus for a new collection area modern design ten years later alessandro mendini who also designed for memphis created the building of the groninger museum in this style the memphis design collection of the groninger museum in the exhibition the collection one room is completely filled with the cheerfully colored design of memphis and mendini the poetic appearance the bright colors playful shapes and decorations of the furniture glass and lamps evoke all kinds of associations humor and irony also play an important role in memphis design,2018.1-2025.3
3.0,Groninger Museum,2019.0,Grand Stairwell Installation,"chihuly’s grand stairwell installation comprises 70 red orange and yellow exotic glass forms known as persians in a composition which covers the three walls of the 12metrehigh stairwell the installation can be seen from the museum’s different floors as well as from the staircase audience members quickly expressed a wish that the museum would purchase the work the groninger museum is delighted and proud to have obtained sufficient support to make that wish come true
dale chihuly about grand stairwell installation
“presenting my solo exhibition chihuly at the groninger museum was a major honor not only was it my largest exhibition ever in a european museum and an opportunity to share my work with an entirely new audience but the institution’s aesthetic itself is so inspiring i love its colorful and interesting spaces – the result of an architectural collaboration led by alessandro mendini – and i’m pleased to know that my grand stairwell installation will have a permanent home in this space that i so admire”
the groninger museum hosted dale chihuly’s largest major european exhibition in winter 201819 deemed “bold” by the daily national newspaper nrc the show met with unprecedented success drawing 156000 enthusiastic visitors one of the exhibition’s highlights was a large installation designed for the museum’s staircase
chihuly understands the power of architecture and how each line colour and form interacts with a space to play a part in an installation’s overall success never before has the stairwell area been used to such impressive effect the groninger museum’s collection is rich in technically advanced exuberant works in which artists challenge the boundaries of their disciplines the grand stairwell installation continues this tradition and will remain on permanent display it harmonises with françois morellet’s neon installation in the foyer and the interiors designed by studio job jaime hayon and maarten baas chihuly’s work adds a new dimension to a colourful eccentric building

chihuly
dale chihuly is an american artist noted for revolutionizing the studio glass movement and elevating perceptions of the glass medium known for ambitious architectural installations in cities museums and gardens around the world chihuly utilizes a variety of media to realize his creative vision including glass paint charcoal neon ice and polyvitro chihuly’s work is included in more than 200 museum collections worldwide including metropolitan museum of art smithsonian american art museum and corning museum of glass major exhibitions include chihuly over venice 199596 chihuly in the light of jerusalem 1999 de young museum in san francisco 2008 museum of fine arts boston 2011 virginia museum of fine arts richmond 2012 montreal museum of fine arts montreal canada 2013 royal ontario museum toronto canada 2016 crystal bridges museum of american art bentonville arkansas 2017 groninger museum groningen netherlands 2018 and royal botanic gardens kew london uk 2019 chihuly garden and glass a longterm exhibition located at the seattle center opened in 2012

persians
featured in many of chihuly’s most dramatic installations persians arose out of an exploration of form and colour the series’ asymmetric and swirling forms evoke an ancient sensibility and when grouped together form a mysterious enchanting whole originally presented on pedestals the series’ dramatic compositions have evolved to include largescale installations mounted on walls overhead in ceilings and assembled together in the form of chandeliers and towers

sponsors
the work’s purchase would not have been possible without the support of foundations and private donors on behalf of the public the museum thanks the following sponsors the vereniging rembrandt partly via its titus fonds its themafonds glas its innorosa fonds its groninger fonds the mondriaan fund the de marees van swinderende blocq van scheltinga bequest the van osvan calcar bequest the groninger museum salon the bankgiro loterij reineke bennema  willem bok and het singeldorp",2019.5-2024.12
4.0,Groninger Museum,2019.0,Pronkjewails - Design From Past and Present,"for the museum building’s 25th anniversary guest curator john veldkamp decorates the starck pavilion with ceramic and glass objects from past eras and the present day the exhibition illustrates the groninger museum’s collecting history while treating visitors to original combinations of splendid objects arranged in masterly still lifes

john veldkamp
veldkamp owned the renowned design store john john’s which operated for more than 30 years on oude kijk in ’t jatstraat in groningen in the 1980s he encouraged the groninger museum’s then director frans haks to start collecting contemporary design
royal blood
the still lifes below are inspired by the artwork ‘marie antoinette’ 3 by erwin olaf which is part of his series ‘royal blood’ the first still life left is inspired by the name royal blood the doll is holding a harakiri knife with an imari handle the plate on the right is called ‘milk and blood’ and all the objects are in the colour red the second still life right is inspired by our own royal family the house of orange the initials of our king are painted on the two plates and the little bowl is made out of silver queen elizabeth coins in 1942 it was forbidden to use these silver coins so people made these objects as a silent protest this was a way of showing you were pro dutch as usually only items like spoons or brooches were made the size of this object is very rare",2019.4-2022.8
5.0,Groninger Museum,2019.0,Mondo Mendini,"twentyfive years after the opening of the groninger museum building he designed alessandro mendini 1931–2019 was given free rein to put together his dream exhibition shortly before his death earlier this year the grand old man of italian design selected dozens of his own revolutionary designs as well as works by numerous other artists and designers mendini passionately believed in collaboration between creative spirits and the importance of imagination mondo mendini is a colourful dazzling riot of fine art design and architecture

mondo mednini in 360°
the exhibition mondo mendini  the world of alessandro mendini is now available in 360°",2019.10-2020.8
6.0,Groninger Museum,2019.0,P. Struycken,"peter struycken’s b 1939 the hague 2007 installation for the coop himmelblau pavilion based on the french composer pierre boulez’s musical work …explosantefixe… went on view again in 2019 five large screens scattered through the darkened gallery took visitors on a journey full of changing colours and forms by turns intense and serene the work was shown alternately with a new installation based on alexander scriabin’s dramatic symphony prometheus the poem of fire
in museum estate wijlre zuidlimburg
p struycken – colour profusion and variability
10032019 — 10112019

on the occasion of p struyckens eightieth birthday kasteel wijlre estate realised a unique transformation of the hedge house the transformation consists of a painting that covers all of the buildings floors walls and ceiling the red black and white areas of colour will change the experience of the architecture of wiel arets who designed the hedge house struycken has never before realised a painted work on this scale and for the first time the hedge house is using its space for a spatially allencompassing artwork
alongside the transformation of the hedge house a solo exhibition of struycken will also take place in the estates coach house",2019.6-2020.2
7.0,Groninger Museum,2019.0,Daan Roosegaarde - Presence,"the groninger museum presented daan roosegaarde – presence the artist and innovator’s first major museum solo project roosegaarde developed this groundbreaking new interactive artwork specially for the groninger museum where he previously displayed his work in the external public domain the artist now adopted the internal museum space for the first time with a largescale phosphorescent landscape which changes colour and shape because of the presence of visitors
unlike most exhibitions which demand that art should be viewed from a distance this installation encourages physical interaction roosegaarde is known for icoon afsluitdijk and international projects like waterlicht and smog free tower as a pioneer of the landscape of the future he investigates the concept of the dutch word ‘schoonheid’ in its dual meaning – beautiful and clean – which takes shape in new social core values like clean air clean water and clean energy presence envisioned this theme by using new materials and principles of physics evoking visitors to become aware of their own presence in a unique manner

living lab
presence was an 800 m2 living lab although the installation is the result of innovative materialtechnical research it comes across as highly intuitive different areas allowed visitors to experience various changes in perspective – from large and solid to small and mobile from dark to bright in one gallery futuristic spheres drew lines on the floor another seemed filled with luminous stardust calling to mind a vast city seen from an airplane other rooms appear to scan visitors by recording their presence in silhouettes and patterns the interaction between visitor and work created constantly changing visual impressions not only looking and observing but most of all touching feeling and moving were essential
inspiration
climate change and a desire to improve the landscape inspired roosegaarde to make presence in the work visitors’ traces which eventually disappear to make room for new ones symbolise the impact of humans’ presence on earth roosegaarde “you make the work and the work makes you the effect of your presence makes you aware of your relationship with the environment and how we can influence it” another source of inspiration was the landscape and environment art of the 1960s and ’70s in which interactivity and awareness of the earth’s vulnerability played an important role too these artists made outdoor landscapes an integral part of their art roosegaarde however took a new step by taking his landscape inside of the museum walls
daan roosegaarde
daan roosegaarde 1979 nieuwkoop is known for his innovative designs for public space which bring together social design art and biotechnology he characterises his work as ‘technopoetry’ a blend of technology and creativity that blurs the boundaries between the humanities and the sciences and is according to the artist the engine that drives social change working with a team of designers engineers and project managers he investigates subjects such as the relationship between humans and technology between the digital and the physical and between living and nonliving matter natural phenomena such as luminous jellyfish and fireflies fascinate him and the element of light frequently plays a key role in his work as we see in projects like waterlicht smog free tower icoon afsluitdijk and in presence

groninger museum
presence was a pioneering project not only for roosegaarde but also for the groninger museum with visitors actively influencing the look of the installation it experimented with art and design and spurs us to rethink the concept of ‘the exhibition’ this innovative hybrid show builds on the groninger museums ambition of focusing on the boundaries where art design fashion and technology meet presence was developed with the curators suean van der zijpp and mark wilson

book
in conjunction with the exhibition the renowned art book publisher phaidon launched the englishlanguage monograph daan roosegaarde lecturis simultaneously published a dutch translation the book features contributions by nico daswani of the world economic forum fumio nanjo of mori arts museum in tokyo carol becker of columbia university in new york and daan roosegaarde",2019.6-2020.1
8.0,Groninger Museum,2019.0,Friends for Life,for 40 years the friends of the groninger museum have been helping the museum to purchase works for its collection to mark the anniversary the museum is exhibiting a selection of these acquisitions the show encompasses a wide range of objects from centuriesold art to commercial design from modern and contemporary art to craft they’ve all got one thing in common every piece has a groningen connection,2019.9-2020.1
9.0,Groninger Museum,2019.0,Rembrandt?!,"2019 is the year of rembrandt van rijn leiden 16061669 amsterdam it has been exactly 350 years since this worldfamous dutch painter passed away over the course of his life he created an estimated 350 paintings 374 etchings and 1500  2000 drawings the authenticity of rembrandts work is still a common discussion point within the art world nowadays only 78 drawings can be attributed to rembrandt with high certainty thanks to their signature or contemporary sources this core group now functions as a key in indentifying his other drawings

drawing with rembrandt
if you wanted to be an artist back in the golden age you would have to study under a professional artist rembrandt accepted pupils quite early on he taught them to work in his own style as their first lesson his students would have to copy etchings drawings and paintings by his hand drawings were mainly used as studies in his studio which is why they are rarely signed that makes it hard to distinguish rembrandts drawings from those of his students

real or not
none of the drawings in the collection of the groninger museum are part of the core group not all of them are attributed to rembrandt anymore either the drawings were compared to the core drawings in terms of technique style and subject matter sometimes it helps to analyse the used materials such as the paper although most of the time ownership is determined by taking a close look at the work if you study the drawing materials work methods and stylistic markers you will find subtle differences or uncomfortable aspects in the drawings – in the exhibition you can spot them too",2019.6-2019.12
