Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
65.0,Forum Storyworld,2020.0,The Art of Loish,"dutch digital artist
lois van baarle  also known as loish  is a leading light in the netherlands when it comes to digital art because of her contributions to wellknown animated films and computer games and also her beautiful noncommissioned work

our temporarily exhibition the art of loish ran from januari until june 2020 did you miss it if you are visiting groningen you can still come to storyworld and see the amazing job she has done on co creating aloy from the game horizon zero dawn ans also follow lois on instagram

van baarle designs characters for animated films and computer games including horizon zero dawn 2017 at present however she is enjoying her greatest success with her noncommissioned work which often features young women sometimes dreamy but usually strong and independent these portraits have brought her international acclaim
biography of lois van baarle
lois van baarle 11 october 1985 studied animation at hku university of the arts utrecht her finalyear film trichrome blue 2009 was shown at various animated film festivals and received an hku award

after her degree she dedicated herself to creating concept art she collaborated on tv commercials documentaries and computer games including the stanwick legacy 2012 mercy of the gallows 2013 and horizon zero dawn 2017

van baarle also creates noncommissioned works much of this can be admired on her instagram account ",2020.1-2020.6
66.0,Forum Storyworld,2020.0,Luke and Lucy 75 Years,"from july untill september storyworld celebrated the 75th anniversary of luke and lucy

on display were original drawings and first editions and discover some fun trivia about the creative process behind luke and lucy firsthand

about luke and lucy
readers around the world have been enjoying luke and lucys adventures for more than 75 years already and in all those years the dynamic duo and such main characters as aunt sidonia ambrose and jethro have enjoyed plenty adventures

to date luke and lucy or suske en wiske as theyre known in the low countries is still the most popular comic in belgium luxembourg and the netherlands it has since been published in more 30 languages including german english spanish portugese brazil indonesian and tibetan

in this exhibition youll learn more about the creators of this comic series and its production process you will also see the change the characters underwent through the years the timeline features some highlights and key moments of these past 75 years when did jethro first put in an appearance for example and in which album was the villain krimson first introduced luke and lucy roamed around the world on their many adventures but also regularly visited the netherlands you will also find examples of this in the exhibition",2020.7-2020.9
67.0,Forum Storyworld,2020.0,Wakawaka! 40 Years of PAC-MAN,"about the arcade legend pacman
one of the most iconic video game characters turned 40 in 2020  pacman

the famous yellow muncher was a game changer for gaming and is as popular as ever storyworld celebrated the anniversary of this arcade legend with a temporary exhibition in otober november and december 2020

pacman truly was a gamechanger in the world of arcade video games did you know that it was the very first game to utilize an iconic and recognizable character as a lead character and that pacman tells a story through its gameplay and video interludes

this revolutionary role extends into areas like video game marketing and the expansion of the gaming audience to women and other demographics

game design themes and colours
the exhibition explained the crucial role of the game design designer toru iwatani and his team deliberately looked at things women and other nongaming demographics could want from a game a lighthearted food theme use of bright colours easy difficulty settings at the start of the game thus breaking every rule in the book such as use space themes hard colours and make difficult games for true gamers to sink their teeth in

pencil sketches pacman posters and collectors items
storyworld was the only european museum to have gained the approval and cooperation of japanese video game company bandai namco entertainment inc for the public display of objects our exhibition therefore included the first pencil sketches of pacman and the first japanese pacman posters and adverts

arjan terpstra curator of the exhibition and coauthor of the pacman anniversary book has also sourced unique pacman collector’s items from the 80s and 90s from all over the world for the groningen display and of course original arcade gaming cabinets on which you could play the game

about pacman
born on may 22 1980 pacman immediately rose to meteoric popularity first in video game arcades then on the pop culture stage and through an array of branding and entertainment appearances throughout the 1980’s and 1990’s with a brand recognition rate of 90 around the world pacman’s image and brand continues to be one of the most beloved and recognized on the planet",2020.10-2020.12
68.0,Forum Storyworld,2021.0,Hisko Hulsing Done/Undone,"admire the work of hisko hulsing
until 4 july 2021 we shined the spotlight on the work of animation maker and director hisko hulsing at storyworld hulsing gained international fame for his awardwinning short films such as junkyard 2012 and directed the animation scenes in the kurt cobain documentary montage of heck 2015

for amazon prime hulsing produced the series undone an animation series for adults considered by many critics as one of the best television series of 2019 a special feature of his work are the oil paintings used for the backgrounds some of his paintings will be on display at storyworld and we will also focus on projects that hulsing hopes to realise in the future

this spotlight is finished
from 5 june until 4 july 2021 our visitors were able to discover how animations are made and what is so unique about hisko hulsing’s work",2021.6-2021.7
69.0,Forum Storyworld,2021.0,AINBO: Spirit of the Amazon,"the new magical 3d animated film ainbo spirit of the amazon screened in dutch cinemas this summer the film is a collaborative effort of peruvian and dutch animation studios and therefore we showed the production process of this wonderful animation in storyworld until 29 august 2021

the story of ainbo
ainbo was born and grew up in the deepest jungle of the amazon one day she discovers that her homeland is being threatened with the help of her spirit guides “dillo” a cute and humorous armadillo and “vaca” a heavyset tapir ainbo embarks on a journey to save her homeland

as she fights to save her paradise against the greed and exploitation by illegal miners she struggles to reverse this destruction and the impending evil of the yacaruna” the darkness that lives in the amazon guided by her mother’s spirit ainbo is determined to save her land before it’s too late

3d animation how do they do it
during this temporary exhibition you had the change to discover how a 3d animation is made and a 3d world comes to life what does it take for example to make eyes blink legs move or have the wind blow through someones hair how do you create a complete jungle in the computer

you could also find out how voices are recorded and how important the correct intonation is and you could see the films storyboard which is one of the most important tools to decide how events will be visualised in the film",2021.7-2021.8
70.0,Forum Storyworld,2021.0,Gerben Valkema: Cartoonist of the Year,"about the art of comic creation

in 2021 the stripschapprijs the most important award for dutch comic creators was awarded to gerben valkema 14 april 1980 that is why we are presented gerbens work at storyworld the dutch museum for comics animation and games from 4 september until 24 october 2021

how it all started
gerben was born and raised in ulrum in the province of groningen and went on to study at the art academy in groningen he started his career as an illustrator at the studio of dutch cartoonist jan kruis where he illustrated and wrote for the dutch comic strip jan jans and de kinderen jack jacky and the juniors gerbens ability to take on different drawing styles soon saw him doing illustrations for suske en wiske spike and suzywilly and wanda donald duck and disney

drawing style bold cool lines
gerbens own drawing style is known for its bold cool lines he has a playful style of drawing alternating thicker and thinner lines which is also known as a comicdynamic style gerben likes to pay homage to other wellknown cartoon characters by drawing them in his own style you can still recognise the characters of course but they look completely different this is more than just a funny trick – it also shows the impact of the illustrators drawing style

elsje
gerben wanted to create a comic of his own too this led to the creation of elsje lizzy which he developed together with writer eric hercules in 2007 gerben likes crazy exaggerated situations and hes a master at drawing facial expressions this proved to be a winning combination elsje is published daily in seven dutch newspapers including dagblad van het noorden and has been translated into english german swedish norwegian french danish spanish catalan and the dutch dialects of gronings and brabants",2021.9-2021.10
71.0,Forum Storyworld,2021.0,Hans G. Kresse 100 Years,hans g kresse december 3 1921  march 12 1992 is still seen as one of the greatest comic book makers in the netherlands with an impressive talent for realistic drawing that is why for the celebration of his hundredth birthday we will be putting kresses work in the spotlights at the comic animation and game museum storyworld and at grid graphic museum groningen,2021.11-2021.12
72.0,Forum Storyworld,2021.0,The World of Lara Croft,"25 years of tomb raider

tomb raider is one of the most recognizable entertainment properties in the world since lara croft’s first videogame appearance in tomb raider 1996 her exploits as an adventurous and quickwitted explorer have resonated widely with players earning her a place in the pantheon of great pop culture characters for that reason we put the world of lara croft in the storyworld spotlight from december 22 2021 to may 29 2022 

crafting a croft
lara croft was created by studio core design in derby uk in 1996 the studio was looking for a lead character for their upcoming a 3d adventure game for playstation 1 a game in a 3rd person perspective where players would see the main character in full throughout every scene 

as the game was about ‘raiding mysterious tombs deep under pyramids’ the lead character would need to look adventurous and have the brains to survive complex raiding missions after some deliberation lara croft was born a young upperclass and utterly british woman who was as enigmatic and intelligent as she was tough and selfreliant

success and controversy
tomb raider 1996 was a breakaway success for core design who quickly doubled down on building tomb raider 2 1997 and 3 1998 a big part of the success was attributed to the games’ leading lady who found admirers both with male and female players this baffled critics who just saw lara croft as a sexist cartoon

explore the world of lara croft in storyworld
this exhibition explored the successful franchise indepth it looked at the history of the games and why its leading lady resonates with so many people it also dived into the mystery of what makes tomb raider games tick from the deep world building to the clever puzzles and traps and from fantastic enemy and monster designs to the character design of the legendary heroine

after all mysteries are there to explore and have been for the past 25 years",2021.12-2022.5
73.0,Forum Storyworld,2022.0,Donald Duck,"the happiest weekly magazine for 70 years long

worldfamous extremely popular and created exactly 70 years ago this year the weekly donald duck magazine in this exhibition you can discover how a donald duck story is created how the illustrations are made and how the entire comic comes to life in the storyworld spotlight donald duck the happiest weekly magazine for 70 years long this spotlight is open from 3 june to 30 october 2022
the birth of the weekly donald duck magazine
the weekly donald duck magazine is still the netherlands’ most popular comic that’s quite an achievement as there is so much competition this situation used to be very different in the early 1950s there were hardly any children’s magazines comics and other kinds of magazines were considered to be dangerous and have a bad influence on children fortunately de geïllustreerde pers a large dutch publisher ignored that sentiment and launched the donald duck comic on 25 october 1952 the first issue was distributed free of charge in a print run of no less than 25 million copies this marked the beginning of our beloved duck’s great success story

a donald duck story
every single day writers in the netherlands and across the world are busy thinking up new duck stories these stories are then converted into scenarios when designing a scenario the writer makes important decisions how many images should appear on a page what happens in each image should donald feature close up or from far away throughout this process the writer needs to put himself or herself in donald duck’s shoes remembering that he has flat feet in practice that isn’t easy

the creative process behind a donald duck illustration
once the writer has thought up the whole story an artist converts the scenario into a series of beautiful illustrations and then one last but important thing is missing colour when creating a donald duck story a lot of careful thought is put into colour donalds beak is orange but did you know that there are over 100 shades of orange alone the colourist always tries to identify the best colour combinations so that the comic comes into its own 

meet the illustrators behind donald duck
discover the work and background of various donald duck illustrators in the storyworld spotlight donald duck  the funniest weekly magazine for 70 years long the exhibition features michel nadorp henrieke goorhuis tim artz and many other donald duck illustrators",2022.6-2022.10
74.0,Forum Storyworld,2022.0,Lessons of the Wild,"horizon forbidden west

dutch game studio guerrilla is making waves with their awardwinning games horizon zero dawn 2017 and horizon forbidden west 2022 in which protagonist aloy takes on aweinspiring machines in a postapocalyptic world the exhibition lessons of the wild  which could be visited from 5 november 2022 to 5 march 2023 at storyworld  took you through their journey of creating a farfuture earth where people are no longer the dominant species and zoomed in to the craft design and artistry of the series development and storytelling",2022.11-2023.5
