,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
50,University Museum,2019,Spaceship Earth,"The exhibition Spaceship Earth, compiled by guest curator Eva Rovers, challenges visitors to take a look at the world through the eyes of an astronaut. It is a journey from the macrocosm to the microcosm that makes you realize that everything is connected. At every ‘stop’, a historical object from the University collection tells a contemporary story about the richness and vulnerability of the earth.

The design of the exhibition is in the hands of five young artists from Groningen who have turned these ‘stops’ into spectacular Cabinets of Curiosities. This design was inspired by a curiosity cabinet by Boudewijn Büch, which by way of rare exception has been made available for exhibition (courtesy of the Teylers Museum). This exhibition was supported by the University Library, the Vereniging Vrienden Academisch Erfgoed Groningen [Friends of the Groningen Academic Heritage Association] and the Nicolaas Mulerius Foundation.

Book presentation: De rebelse held
The exhibition will be accompanied by Eva Rovers’ book De rebelse held [‘The rebel hero’], a volume of provocative letters to the creator of the concept of Spaceship Earth: the eccentric, almost forgotten inventor, architect, car designer, philosopher and futurist Richard Buckminster Fuller – also known as ‘the Leonardo Da Vinci of the twentieth century’. Over half a century ago, he developed numerous eccentric solutions to today’s problems, varying from climate change and failing democracies to the dark sides of the tech revolution. He invented flying cars, self-sufficient houses and a bizarre map of the world in order to keep ‘Spaceship Earth’ liveable, now and in the future.",2019.6-2019.11
51,University Museum,2019,Dead Zoo,"This exhibition centres around the University Museum’s impressive zoology collection that has been compiled by numerous scientists. In a virtual journey through Africa, America, Oceania, Eurasia and the underwater world, visitors get to meet colourful birds, rare spiders, beautiful fish, scary predators and much, much more.",##
52,University Museum,2019,Spitsbergen 79,"In 1979 the first externally financed expedition of the University of Groningen, led by Louwrens Hacquebord, left for Amsterdam Island near Spitsbergen. As part of the Arctic Centre Groningen they conducted research into the stay of seventeenth century whalers and the influence of the Dutch Whaling industry on the arctic surroundings.

Forty years later we look back on this remarkable project with never before published photographs by expedition member and scientific photographer Ben Bekooy.
Many different views and alternative facts on climate change in the media. But what are the real facts? What does science tell us? And how urgent will climate change be? Following our exhibition on Spitsbergen 79 with a special climate room (only to be seen until 1 March), we are organizing a lunch lecture about this very topical subject.
It is now clear that climate has become warmer in the past decades. And it is also ""highly likely"" (IPCC) that this warming is caused primarily by the increase of the atmospheric CO2 concentration, which enhances the natural greenhouse effect. And that increase, in its turn, is caused by the burning of fossil fuels (coal, oil and gas).

But: how does the greenhouse effect actually work? And how much is caused by human activities? And what do we observe? And, finally: what will be the future? In this interesting lunch lecture Harro Meijer, expert on isotope research, examines the science behind climate change. He will clarify this topic for you to get to know all the real facts!",2019.12-2020.3
53,University Museum,2020,DIG IT ALL. Archaeology of the future,"DIG IT ALL reveals the groundbreaking technology of modern archeology. In honour of the centennial of the Groningen Institute of Archaeology we offer a glimpse behind the scenes of this fascinating research area. Archaeologists have a clever way of using digital technologies, such as virtual reality, 3D reconstructions and drone images. This approach offers innovative opportunities of digging into the past.

The exhibition lets you experience what it is like being at an archaeological dig: through VR you can immerse yourself in tombs in ancient Italy and Greece; 3D-reconstructions bring the discovered objects, such as pottery items, to life; shipwrecks in the Dutch polders are discovered by digital analysis of small differences in height in the landscape. The archaeology of plants and animals in the Netherlands are mapped by digital reference collections. Closer to home, we take a look at the liberation of the city of Groningen after World War II and show the war-time finds in our own city on an interactive map.

A part of the exhibition can also be experienced from home: watch 3D-reconstructions of archaeological objects, discover internactive digital maps and read stories behind the groundbreaking techniques within the field of archaeology.",##
54,University Museum,2021,Masterminds. The History of the University of Groningen,"Masterminds takes you through the history of science, featuring ground-breaking research and major scientific discoveries at the University of Groningen. From the story of its founding, via the first electric car and the first female student Aletta Jacobs, to the contemporary research of Nobel prize winner Ben Feringa and his nano car.

Eight figureheads of science, such as the versatile Petrus Camper and the ingenious Sibrandus Stratingh, show the challenges faced by Groningen scientists. Historical objects illustrate the developments in modern science.

Experience what science is all about, see how scientists work in a laboratory and become acquainted with scientific experiments.

Audio guide and interactive tour
For the exhibition Masterminds an audio guide and an interactive tour are available.
Audio guide
The audio guide is an exiting audio play which will take you along all the figureheads in the exhibition Masterminds. You will be taken back in time at each 'Mastermind' – from Petrus Camper to Ben Feringa – in order to learn more on this scientist and his/her scientific discoveries.

Interactive tour
The interactive tour takes you into the world of science. Short podcast fragments offer greater depth and breadth on the different 'Masterminds'. Objects and stories come alive using 3D animations, illustrations and short videos, and to challenge yourself there are also several quizzes to take on the 'Masterminds' of the exhibition.

The audio guide and interactive tour are available online via the button below and can be listened to and watched anywhere: whether you are at the museum or at home.",##
55,University Museum,2021,Did you read that! 50 years of Universiteitskrant,"The first edition of Universiteitskrant (UK) Groningen dates from 1 September 1971. The Universiteitskrant was the first modern and independant weekly university newspaper in The Netherlands, published by an independant organization.

The newspaper brought news and was, especially in its early years, a platform for often hefty debates. A half a century later the UK, or Ukrant as it is now called, is still an independant news platform for the academic community in Groningen.

50 years of Universiteitskrant is celebrated with a special book and two exhibitions: one at the Univeristy Museum and one at the University Library.

The small exhibition at the University Museum shows the development the Universiteitskrant went through in the last 50 years: from a black-and-white newspaper with hardly any pictures in 1971 to a colourful and biligual internet platform.

Eventhough its appearance changed, one thing remained the same in those fifty years: its independance, which had to be fought for now and then, and which is shown through a couple of talked-about events.",##
56,University Museum,2022,Under the spell of growth,"After more than ten years of research, university historian Klaas van Berkel has finished his project on the history of the University of Groningen. The University Museum has composed a small exhibition to accompany the publication of the third part of Universiteit van het Noorden in which Klaas van Berkel describes the period after 1945 which is - amongst other things - characterized by growth.

After the war, the Groningen university grew faster than its Dutch sister universities. While Groningen used to be the smallest university, it is now the second largest. This growth started after 1955, thanks to population growth, an increase in prosperity and an expansion of subsidies for studying (through grants and higher taxes). In the exhibition three things are highlighted that were accelerated by the university's growth: democratization, expansion and changes in education and research.",##
57,University Museum,2022,Animal Tales,"The objects in this exhibition, collected by professor Theo van Baaren (1912 - 1989), tell stories in which animals play a central role. The origins of Van Baaren’s large collection are inextricably linked to the colonial past of The Netherlands.

The exhibition Animal Tales, organised as part of the cultural manifestation Bittersweet Heritage (18 February -12 September 2022), researches the origin of various objects and their stories, and reflect on the possibility that they may eventually return to their home.
To what extent was Groningen involved in slavery? What traces of the history of slavery do you see? Which of its effects are still visible in our society?
These questions are the main topics of the activities and education programs that 'Bitterzoet Erfgoed' (Bittersweet Heritage) initiates and supports. On July 1 2023, we will celebrate the abolition of slavery during Keti Koti. Keep an eye on this website for the comprehensive cultural program of Keti Koti Celebration Groningen.",2022.7-2023.1
58,University Museum,2022,Petrus Camper Revisited,"Based on his own research and religious beliefs, scientist Petrus Camper (1722-1789) was a fierce opponent of slavery and white supremacy. However, fellow scientists used Camper's work to justify supremacy and slavery.

In the exhibition Petrus Camper Revisited, organised as part of the cultural manifestation Bittersweet Heritage (18 February -12 September 2022), we examine Petrus Camper’s research from a 21st-century perspective. How do we approach his legacy today?

To what extent was Groningen involved in slavery? What traces of the history of slavery do you see? Which of its effects are still visible in our society?
These questions are the main topics of the activities and education programs that 'Bitterzoet Erfgoed' (Bittersweet Heritage) initiates and supports. On July 1 2023, we will celebrate the abolition of slavery during Keti Koti. Keep an eye on this website for the comprehensive cultural program of Keti Koti Celebration Groningen.",2022.7-2022.1
59,University Museum,2022,StudentLab: Welcome to Indonesia!,"The exhibition StudentLab: Welcome to Indonesia!, curated by students of Art History of the University of Groningen, shows a selection of special objects from Indonesia.

Accompanied by personal stories and memories, these objects celebrate the wealth of cultures of the Indonesian islands. Discover how the board game Papon Dakon is played, or admire beautifully decorated kitchen objects, and everyone can add their personal memories or stories to this small project of remembrance.",2022.7-2023.1
