,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
65,Forum Storyworld,2020,The Art of Loish,"Dutch Digital artist
Lois van Baarle - also known as Loish - is a leading light in the Netherlands when it comes to digital art because of her contributions to well-known animated films and computer games, and also her beautiful non-commissioned work.

Our temporarily exhibition The Art of Loish ran from Januari until June 2020. Did you miss it? If you are visiting Groningen, you can still come to Storyworld and see the amazing job she has done on co creating Aloy from the game Horizon Zero Dawn. Ans also, follow Lois on Instagram!

Van Baarle designs characters for animated films and computer games, including Horizon Zero Dawn (2017). At present, however, she is enjoying her greatest success with her non-commissioned work, which often features young women. Sometimes dreamy, but usually strong and independent. These portraits have brought her international acclaim.
Biography of Lois van Baarle
Lois van Baarle (11 October 1985) studied animation at HKU University of the Arts Utrecht. Her final-year film, Trichrome Blue (2009), was shown at various animated film festivals and received an HKU award.

After her degree, she dedicated herself to creating concept art. She collaborated on TV commercials, documentaries and computer games, including The Stanwick Legacy (2012), Mercy of the Gallows (2013) and Horizon Zero Dawn (2017).

Van Baarle also creates non-commissioned works. Much of this can be admired on her Instagram account. ",2020.1-2020.6
66,Forum Storyworld,2020,Luke and Lucy 75 Years,"From July untill September Storyworld celebrated the 75th anniversary of Luke and Lucy.

On display were original drawings and first editions and discover some fun trivia about the creative process behind Luke and Lucy first-hand.

About Luke and Lucy
Readers around the world have been enjoying Luke and Lucy's adventures for more than 75 years already. And in all those years, the dynamic duo and such main characters as Aunt Sidonia, Ambrose, and Jethro have enjoyed plenty adventures.

To date, Luke and Lucy (or 'Suske en Wiske' as they're known in the Low Countries) is still the most popular comic in Belgium, Luxembourg and the Netherlands. It has since been published in more 30 languages, including German, English, Spanish, Portugese (Brazil), Indonesian and Tibetan.

In this exhibition, you'll learn more about the creators of this comic series and it's production process. You will also see the change the characters underwent through the years. The timeline features some highlights and key moments of these past 75 years. When did Jethro first put in an appearance for example? And in which album was the villain Krimson first introduced? Luke and Lucy roamed around the world on their many adventures, but also regularly visited the Netherlands. You will also find examples of this in the exhibition.",2020.7-2020.9
67,Forum Storyworld,2020,Wakawaka! 40 Years of PAC-MAN,"About the arcade legend PAC-MAN
One of the most iconic video game characters turned 40 in 2020 - PAC-MAN!

The famous yellow muncher was a game changer for gaming and is as popular as ever. Storyworld celebrated the anniversary of this arcade legend with a temporary exhibition in Otober, November and December 2020.

PAC-MAN truly was a game-changer in the world of arcade video games. Did you know that it was the very first game to utilize an iconic and recognizable character as a lead character? And that PAC-MAN tells a story through its gameplay and video interludes?

This revolutionary role extends into areas like video game marketing, and the expansion of the gaming audience to women and other demographics.

Game design, themes and colours
The exhibition explained the crucial role of the game design. Designer Toru Iwatani and his team deliberately looked at things women and other non-gaming demographics could want from a game (a lighthearted food theme, use of bright colours, easy difficulty settings at the start of the game), thus breaking every rule in the book such as use space themes, hard colours and make difficult games for 'true' gamers to sink their teeth in.

Pencil sketches, PAC-MAN posters and collector's items
Storyworld was the only European museum to have gained the approval and cooperation of Japanese video game company BANDAI NAMCO Entertainment Inc. for the public display of objects. Our exhibition therefore included the first pencil sketches of PAC-MAN and the first Japanese PAC-MAN posters and adverts.

Arjan Terpstra, curator of the exhibition and co-author of the PAC-MAN anniversary book, has also sourced unique PAC-MAN collector’s items from the 80s and 90s from all over the world for the Groningen display. And of course original arcade gaming cabinets on which you could play the game!

About PAC-MAN
Born on May 22, 1980, PAC-MAN immediately rose to meteoric popularity, first in video game arcades, then on the pop culture stage and through an array of branding and entertainment appearances throughout the 1980’s and 1990’s. With a brand recognition rate of 90% around the world, PAC-MAN’s image and brand continues to be one of the most beloved and recognized on the planet.",2020.10-2020.12
68,Forum Storyworld,2021,Hisko Hulsing Done/Undone,"Admire the work of Hisko Hulsing
Until 4 July 2021 we shined the spotlight on the work of animation maker and director Hisko Hulsing at Storyworld. Hulsing gained international fame for his award-winning short films such as Junkyard (2012) and directed the animation scenes in the Kurt Cobain documentary Montage of Heck (2015).

For Amazon Prime, Hulsing produced the series Undone, an animation series for adults considered by many critics as one of the best television series of 2019. A special feature of his work are the oil paintings used for the backgrounds. Some of his paintings will be on display at Storyworld and we will also focus on projects that Hulsing hopes to realise in the future.

This Spotlight is finished
From 5 June until 4 July 2021 our visitors were able to discover how animations are made and what is so unique about Hisko Hulsing’s work.",2021.6-2021.7
69,Forum Storyworld,2021,AINBO: Spirit of the Amazon,"The new, magical 3D animated film AINBO: Spirit of the Amazon, screened in Dutch cinemas this summer. The film is a collaborative effort of Peruvian and Dutch animation studios and therefore we showed the production process of this wonderful animation in Storyworld until 29 August 2021.

The story of AINBO
Ainbo was born and grew up in the deepest jungle of the Amazon. One day she discovers that her homeland is being threatened. With the help of her spirit guides “Dillo” a cute and humorous armadillo and “Vaca” a heavy-set tapir, Ainbo embarks on a journey to save her homeland.

As she fights to save her paradise against the greed and exploitation by illegal miners, she struggles to reverse this destruction and the impending evil of the ""Yacaruna”, the darkness that lives in the Amazon. Guided by her mother’s spirit, Ainbo is determined to save her land before it’s too late.

3D animation, how do they do it?
During this temporary exhibition you had the change to discover how a 3D animation is made and a 3D world comes to life. What does it take, for example, to make eyes blink, legs move or have the wind blow through someone's hair? How do you create a complete jungle in the computer?

You could also find out how voices are recorded and how important the correct intonation is. And you could see the film's storyboard, which is one of the most important tools to decide how events will be visualised in the film.",2021.7-2021.8
70,Forum Storyworld,2021,Gerben Valkema: Cartoonist of the Year,"About the art of comic creation

In 2021, the Stripschapprijs, the most important award for Dutch comic creators, was awarded to Gerben Valkema (14 April 1980). That is why we are presented Gerben's work at Storyworld, the Dutch museum for comics, animation and games, from 4 September until 24 October 2021.

How it all started
Gerben was born and raised in Ulrum in the province of Groningen, and went on to study at the Art Academy in Groningen. He started his career as an illustrator at the studio of Dutch cartoonist Jan Kruis, where he illustrated and wrote for the Dutch comic strip Jan, Jans and de kinderen (Jack, Jacky and the Juniors). Gerben's ability to take on different drawing styles soon saw him doing illustrations for Suske en Wiske (Spike and Suzy/Willy and Wanda), Donald Duck and Disney.

Drawing style: bold, cool lines
Gerben's own drawing style is known for its bold, cool lines. He has a playful style of drawing, alternating thicker and thinner lines, which is also known as a 'comic-dynamic' style. Gerben likes to pay homage to other well-known cartoon characters by drawing them in his own style. You can still recognise the characters, of course, but they look completely different! This is more than just a funny trick – it also shows the impact of the illustrator's drawing style.

Elsje
Gerben wanted to create a comic of his own, too. This led to the creation of Elsje (Lizzy), which he developed together with writer Eric Hercules in 2007. Gerben likes crazy, exaggerated situations and he's a master at drawing facial expressions. This proved to be a winning combination: Elsje is published daily in seven Dutch newspapers, including Dagblad van het Noorden, and has been translated into English, German, Swedish, Norwegian, French, Danish, Spanish, Catalan, and the Dutch dialects of Gronings and Brabants.",2021.9-2021.10
71,Forum Storyworld,2021,Hans G. Kresse 100 Years,"Hans G. Kresse (December 3, 1921 - March 12, 1992) is still seen as one of the greatest comic book makers in the Netherlands, with an impressive talent for realistic drawing. That is why, for the celebration of his hundredth birthday, we will be putting Kresse's work in the spotlights at the comic, animation and game museum Storyworld and at GRID Graphic Museum Groningen.",2021.11-2021.12
72,Forum Storyworld,2021,The World of Lara Croft,"25 years of Tomb Raider

Tomb Raider is one of the most recognizable entertainment properties in the world. Since Lara Croft’s first videogame appearance in Tomb Raider (1996), her exploits as an adventurous and quick-witted explorer have resonated widely with players, earning her a place in the pantheon of great pop culture characters. For that reason we put The World of Lara Croft in the Storyworld Spotlight from December 22, 2021 to May 29, 2022. 

Crafting a Croft
Lara Croft was created by studio Core Design, in Derby (UK), in 1996. The studio was looking for a lead character for their upcoming a 3D adventure game for PlayStation 1. A game in a 3rd person perspective where players would see the main character in full throughout every scene. 

As the game was about ‘raiding mysterious tombs deep under pyramids,’ the lead character would need to look adventurous, and have the brains to survive complex raiding missions. After some deliberation, Lara Croft was born, a young, upper-class and utterly British woman, who was as enigmatic and intelligent as she was tough and self-reliant.

Success and controversy
Tomb Raider (1996) was a breakaway success for Core Design, who quickly doubled down on building Tomb Raider 2 (1997) and 3 (1998). A big part of the success was attributed to the games’ leading lady, who found admirers both with male and female players. This baffled critics who just saw Lara Croft as a sexist cartoon.

Explore The World of Lara Croft in Storyworld
This exhibition explored the successful franchise in-depth. It looked at the history of the games and why its leading lady resonates with so many people. It also dived into the mystery of what makes Tomb Raider games tick, from the deep world building to the clever puzzles and traps, and from fantastic enemy and monster designs to the character design of the legendary heroine.

After all, mysteries are there to explore, and have been for the past 25 years.",2021.12-2022.5
73,Forum Storyworld,2022,Donald Duck,"The happiest weekly magazine for 70 years long

World-famous, extremely popular and created exactly 70 years ago this year: the weekly Donald Duck magazine. In this exhibition, you can discover how a Donald Duck story is created, how the illustrations are made and how the entire comic comes to life in the Storyworld Spotlight: Donald Duck, the happiest weekly magazine for 70 years long. This Spotlight is open from 3 June to 30 October 2022.
The birth of the weekly Donald Duck magazine
The weekly Donald Duck magazine is still the Netherlands’ most popular comic. That’s quite an achievement, as there is so much competition. This situation used to be very different. In the early 1950s, there were hardly any children’s magazines. Comics and other kinds of magazines were considered to be dangerous, and have a bad influence on children. Fortunately, De Geïllustreerde Pers, a large Dutch publisher, ignored that sentiment and launched the Donald Duck comic on 25 October 1952. The first issue was distributed free of charge in a print run of no less than 2.5 million copies! This marked the beginning of our beloved duck’s great success story.

A Donald Duck story
Every single day, writers in the Netherlands and across the world are busy thinking up new Duck stories. These stories are then converted into scenarios. When designing a scenario, the writer makes important decisions. How many images should appear on a page? What happens in each image? Should Donald feature close up or from far away? Throughout this process, the writer needs to put himself or herself in Donald Duck’s shoes (remembering that he has flat feet!). In practice, that isn’t easy.

The creative process behind a Donald Duck illustration
Once the writer has thought up the whole story, an artist converts the scenario into a series of beautiful illustrations. And then one last, but important thing is missing: colour! When creating a Donald Duck story, a lot of careful thought is put into colour. Donald's beak is orange, but did you know that there are over 100 shades of orange alone? The colourist always tries to identify the best colour combinations so that the comic comes into its own. 

Meet the illustrators behind Donald Duck
Discover the work and background of various Donald Duck illustrators in the Storyworld Spotlight: Donald Duck - the funniest weekly magazine for 70 years long. The exhibition features Michel Nadorp, Henrieke Goorhuis, Tim Artz and many other Donald Duck illustrators.",2022.6-2022.10
74,Forum Storyworld,2022,Lessons of the Wild,"Horizon Forbidden West

Dutch game studio Guerrilla is making waves with their award-winning games Horizon Zero Dawn (2017) and Horizon Forbidden West (2022), in which protagonist Aloy takes on awe-inspiring machines in a post-apocalyptic world. The exhibition Lessons of the Wild - which could be visited from 5 November 2022 to 5 March 2023 at Storyworld - took you through their journey of creating a far-future Earth where people are no longer the dominant species, and zoomed in to the craft, design, and artistry of the series' development and storytelling.",2022.11-2023.5
