,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
125,Synagogue,2020, Gezinus Wolthers (SFS),"The work of Gezinus Wolthers (SFS) - 5 January - 2 February 
This exhibition shows the virtually unknown work of the Groningen 
artist Gezinus Wolthers (1932-2018). Wolthers' daughter has been 
active for SFS for many years and provided the interpretation for this retrospective. The 
exhibition Contrast came about in collaboration with painter Rein 
Pol (Groningen, 1949). He taught Wolthers at Minerva Academy and later became a 
later became friends with the painter.

Translated with DeepL.com (free version)",2020.1-2020.2
126,Synagogue,2020,Levenslicht,"The monument Levenslicht was part of a nationwide project of the 
National Committee 4 and 5 May in which more than 150 Dutch municipalities 
participated. Stones are important in the Jewish commemoration tradition as well as in Roma and Sinti culture. Artist Daan Roosegaarde used this tradition 
as inspiration. With a total of 104,000 
luminous stones - equal to the number of victims from the Netherlands - the 
artwork symbolises the overwhelming significance of the Holocaust. The 
names of the murdered Jewish Stadjers could be read at the Levenslicht in 
the memorial book, provided by author Johan van Gelder.",2020.1-2020.2
127,Synagogue,2020,Composers in Wartime,"As a result of covid-19, this exhibition was extended so that it could be seen 1 month 
before and one month after the first lockdown.
This exhibition developed by the Leo Smit Foundation tells stories 
about 22 composers who were persecuted in the Netherlands during World War II 
were persecuted. The war had a major impact on their careers and later work. 
For some, their work was completely forgotten. Through 
15
an audio app, visitors could actually hear the work in the beautiful 
space. Perhaps that is the finest tribute to these composers!",2020.2-2020.7
128,Synagogue,2020,Freedom with a Black Edge,"How did the Jewish community in Groningen recover after the end of the 
Second World War? This question was at the centre of our summer exhibition. The 
exhibition showed how the small remnant of the flourishing 
community in 1945 still tried to resume Jewish life in the province of 
Groningen. This was not a celebratory story of liberated Groningen, 
but a story of forgotten and concealed injustice, but also of a 
hopeful, and courageous new generation.",2020.7-2020.9
129,Synagogue,2020,Viewing days Gallery Richard ter Borg,"Neighbour and gallery owner Richard ter Borg showed over 300 works of art -
including many Groninger Ploeg - in the synagogue. Masterpieces by Jannes de 
Vries, Johan Dijkstra and Jan Wiegers were on show and, of course, bidding could 
during the closing auction evening, this time entirely online.",2020.10-2020.11
130,Synagogue,2020,World Press Photo ,"As a result of a two-week lockdown, this exhibition could open a week later. 
opened a week later.
The most iconic press photos of the past year were shown - for the third 
time in a row - displayed in the synagogue. At the gallery, the local 
photo exhibition 'Rise Up' was shown. This exhibition explored the power of 
local initiative and protest. Northern photographers told the story of 
civic initiatives, protests and the people fighting for their ideals.
",2020.11-2020.12
131,Synagogue,2021,Reise ins Jüdische Ostfriesland,"Synagogue Groningen stimulates active involvement in the Jewish culture and history of the city of Groningen, the region and the border region with East Friesland. The permanent exhibition invites you to become acquainted with the stories that connect history and current events. With digital storytelling, personal stories come to life.

 

The Jewish rituals, customs and festivals form a common thread through the building. DIY objects allow you to interactively experience why Shabbat is celebrated weekly, what Passover and Hanukkah mean, and how the dietary laws of Kashrut ensure a kosher Jewish household.

​

Naturally, the special architecture and the remarkable history of the building are highlighted. In the audio tour, Bertien Minco takes you along the moments in her family history in which the synagogue in the Folkingestraat and the Jewish community in Groningen are present.

The synagogue is naturally a place of remembrance, as well as a lively place for cultural activities and an educational center about Jewish religion and customs. Of course the Jewish Community holds shul here.

​

In collaboration with the Oude Groninger Kerken Foundation, the owner of the building, the structural adjustment of the building was completed in 2021. After that, the realization of the permanent exhibition was completed, a long-standing wish of the Synagogue Groningen and the Dutch-Israelite Municipality of Groningen.

Historian and exhibition maker Willy van der Schuit worked out, designed and realized the plans together with Design collective Groningen, consisting of Studio Eye Candy, 212 Fahrenheit, Opmaat3D and JZProdo. The new interior has become part of the striking monument, the permanent exhibition a source for further exploration of the rich history of Jewish Groningen.

Why were there so many small Jewish communities in the Groningen-East Frisian border region? And what was the reason for migration? Today it is hard to imagine that there were lively Jewish communities in Bunde, Jemgum, Weener, but also in Nieuweschans, Winschoten and Bourtange. Unlike in Germany, in some Dutch villages the former synagogues still remind us of this lost life. From Leer, Dr Juliane Irma Mihan worked on the scientific research, which resulted in the book in 2021  Jewish life in the border area.  Part of the research has been incorporated into the traveling exhibition that will arrive in Synagoge Groningen from July 2021, via Weener, Bunde, Winschoten and Bourtange, which will eventually arrive in Synagogue Groningen in December 2021.",2018-2021
132,Synagogue,2021,Ter Borg Gallery viewing days ,"Neighbour and gallery owner Richard ter Borg showed over 300 artworks - including many 
Groninger Ploeg - in the synagogue. Masterpieces by Jannes de Vries, Johan Dijkstra and Jan Wiegers 
were on display and, of course, bidding was possible during the closing online auction evening.",2021.6
133,Synagogue,2021,Design for living. Living for design,"Forty years ago, Synagogue Groningen was reopened after an extensive restoration. 
reopened. Since then, the building has had a sacred space designed by industrial designer Piet 
Cohen (born Arnhem 1935). Because of this anniversary, SFS displayed the versatile work 
of the still active designer. The exhibition naturally paid special attention to the 
anniversary synagogue. This exhibition could be realised with a project grant from Stichting 
Levie Lassen.",2021.7-2021.10
134,Synagogue,2021,Art fair Groninger galleries,"In a five-day art fair, gallery owner Richard ter Borg, together with four other Groningen 
galleries - Galerie With Tsjalling, Prentwerk, Philip Elchers and Peter ter Braak - showed a selection of their 
offerings. ",2021.10
